Inline No.,Hangingwall,Footwall,Throw
8239,3110.21,3112.07,1.86
8240,3108.16,3112.83,4.67
8241,3106.1,3114.13,8.03
8242,3106.47,3114.69,8.22
8243,3105.36,3112.64,7.28
8244,3104.15,3112.78,8.63
8245,3101.62,3112.58,10.96
8246,3098.69,3112.76,14.07
8247,3091.71,3110.81,19.1
8248,3092.7,3116.57,23.87
8249,3093.79,3119.74,25.95
8250,3095.47,3117.87,22.4
8251,3100.88,3124.04,23.16
8252,3101.03,3124.1,23.07
8253,3101.48,3125.6,24.12
8254,3101.19,3123.95,22.76
8255,3100.81,3133.23,32.42
8256,3099.53,3133.22,33.69
8257,3100.15,3133.97,33.82
8258,3095.38,3132.54,37.16
8259,3094.66,3130.87,36.21
8260,3093.8,3128.47,34.67
8261,3089.52,3128.71,39.19
8262,3085.81,3126.2,40.39
8263,3086.77,3126.68,39.91
8264,3085.81,3126.8,40.99
8265,3086.59,3128.05,41.46
8266,3085.63,3126.86,41.23
8267,3087.16,3118.46,31.3
8268,3090.38,3114.99,24.61
8269,3093.37,3114.16,20.79
8270,3093.73,3106.17,12.44
8271,3108.44,3112.26,3.82
8272,3105.81,3116.08,10.27
8273,3105.02,3119.79,14.77
8274,3105.81,3122.66,16.85
8275,3101.15,3120.27,19.12
8276,3103.18,3113.45,10.27
8277,3101.15,3112.5,11.35
8278,3098.28,3112.5,14.22
8279,3093.98,3112.97,18.99
8280,3092.66,3113.7,21.04
8281,3112.45,3127.02,14.57
8282,3093.51,3119.14,25.63
8283,3092.98,3121.55,28.57
8284,3090.91,3122.55,31.64
8285,3090.14,3126.38,36.24
8286,3089.28,3127.04,37.76
8287,3089.28,3127.9,38.62
8288,3097.33,3138.71,41.38
8289,3089.31,3131.02,41.71
8290,3085.04,3129.01,43.97
8291,3084.15,3130.3,46.15
8292,3083.85,3139.36,55.51
8293,3082.8,3142.31,59.51
8294,3081.62,3141.86,60.24
8295,3081.52,3141.91,60.39
8296,3078.37,3138.94,60.57
8297,3078.37,3141.76,63.39
8298,3077.29,3141.48,64.19
8299,3076.81,3141.7,64.89
8300,3074.55,3138.83,64.28
8301,3074.06,3141.46,67.4
8302,3073.35,3146.01,72.66
8303,3068.65,3140.71,72.06
8304,3069.13,3138.67,69.54
8305,3069.07,3134.79,65.72
8306,3066.83,3129.41,62.58
8307,3066.38,3128.01,61.63
8308,3065.78,3128.07,62.29
8309,3065.33,3126.38,61.05
8310,3064.88,3128.98,64.1
8311,3064.88,3124.93,60.05
8312,3064.88,3124.33,59.45
8313,3065.18,3129.89,64.71
8314,3064.88,3129.8,64.92
8315,3069.52,3127.17,57.65
8316,3069.82,3128.66,58.84
8317,3069.82,3128.81,58.99
8318,3075.04,3136.58,61.54
8319,3074.74,3133.6,58.86
8320,3074.89,3133.14,58.25
8321,3077.73,3134.49,56.76
8322,3079.07,3135.38,56.31
8323,3079.07,3131.05,51.98
8324,3079.52,3132.1,52.58
8325,3078.13,3131.75,53.62
8326,3079.02,3131.9,52.88
8327,3086.35,3127.05,40.7
8328,3087.46,3125.74,38.28
8329,3088.39,3139.74,51.35
8330,3089.32,3141.23,51.91
8331,3089.9,3141.98,52.08
8332,3089.9,3141.61,51.71
8333,3084.47,3132.83,48.36
8334,3087.65,3131.53,43.88
8335,3088.77,3125.54,36.77
8336,3089.14,3124.05,34.91
8337,3092.5,3122.01,29.51
8338,3093.99,3123.27,29.28
8339,3094.93,3114.79,19.86
8340,3097.25,3115.83,18.58
8341,3104.84,3118.13,13.29
8342,3098.26,3110.14,11.88
8343,3097.04,3102.17,5.13
