Depth/ms,Heave/m,Throw/ms
2856.57,14.0871,2.84105
2866.94,14.0871,3.45661
2877.31,17.2834,3.12515
2889.24,26.6353,4.71141
2903.99,23.5574,7.221
2921.28,23.5574,7.52878
2933.98,20.4722,6.00162
2955.39,12.9956,5.13136
2980.41,17.2834,6.91322
2994.53,19.7601,5.14645
3007.53,19.2022,4.54256
3023.4,29.8315,5.01919
3040.95,10.9458,5.81585
3050.24,19.5849,9.67506
3061.3,22.0185,6.91322
3076.9,14.6012,7.41419
3086.33,11.5034,4.90551
3096.62,12.1253,3.99504
3115.35,9.88177,6.15867
3126.94,20.4796,8.4758
3143.15,25.0964,9.09136
3155.36,18.7551,9.71304
3169.87,17.86,10.6306
3180.87,17.546,10.3135
3197.2,25.0964,8.80725
3207.52,17.1298,9.33878
3218.2,17.9245,9.68062
3238.09,3.76651,0.0261003
3251.24,6.27698,1.39553
