Fault No.,No.,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
1,1,3542,3562,1716,1722,20,6,75,50,90.1
1,2,3588,3606,1720,1726,18,6,75,45,87.5
1,3,3754,3772,1740,1748,18,8,100,45,109.7
1,4,3848,3882,1752,1768,34,16,200,85,217.3
1,5,4106,4146,1786,1806,40,20,250,100,269.3
1,6,4172,4210,1802,1818,38,16,200,95,221.4
1,7,4358,4390,1812,1826,32,14,175,80,192.4
1,8,4506,4522,1832,1844,16,12,150,40,155.2
1,9,4630,4648,1866,1872,18,6,75,45,87.5
1,10,4676,4678,1888,1892,2,4,50,5,50.2
2,1,3542,3554,1742,1738,12,4,50,30,58.3
2,2,3574,3588,1740,1734,14,6,75,35,82.8
2,3,3740,3750,1726,1718,10,8,100,25,103.1
2,4,3850,3864,1702,1694,14,8,100,35,105.9
2,5,3914,3938,1690,1682,24,8,100,60,116.6
2,6,3914,3942,1692,1682,28,10,125,70,143.3
2,7,4010,4044,1674,1662,34,12,150,85,172.4
2,8,4084,4114,1654,1642,30,12,150,75,167.7
2,9,4168,4184,1642,1634,16,8,100,40,107.7
2,10,4262,4270,1626,1620,8,6,75,20,77.6
3,1,3482,3490,1470,1468,8,2,25,20,32.0
3,2,3532,3544,1458,1454,12,4,50,30,58.3
3,3,3552,3568,1460,1456,16,4,50,40,64.0
3,4,3578,3596,1452,1444,18,8,100,45,109.7
3,5,3652,3672,1446,1440,20,6,75,50,90.1
3,6,3670,3688,1438,1434,18,4,50,45,67.3
3,7,3768,3782,1426,1420,14,6,75,35,82.8
3,8,3810,3822,1420,1414,12,6,75,30,80.8
3,9,3848,3858,1412,1408,10,4,50,25,55.9
3,10,3884,3892,1410,1402,8,8,100,20,102.0
4,1,3584,3594,1704,1698,10,6,75,25,79.1
4,2,3608,3620,1700,1696,12,4,50,30,58.3
4,3,3640,3650,1690,1684,10,6,75,25,79.1
4,4,3686,3700,1682,1672,14,10,125,35,129.8
