Profile,Depth/ms,Heave/m,Throw/ms,Depth/m
1,3162.87,0,0,2816.162577
1,3174.06,23.513,1.844,2830.084784
1,3184.15,34.312,3.002,2842.745766
1,3194.29,43.151,4.176,2855.572055
1,3209.16,52.0978,4.282,2874.567365
1,3225.63,39.752,5.862,2895.864639
1,3235.66,42.674,7.063,2908.96728
1,3259.61,43.624,6.717,2940.661153
1,3270.89,35.7134,6.808,2955.787069
1,3282.2,36.395,5.559,2971.08096
1,3292.77,38.802,5.629,2985.489825
1,3307.56,39.752,3.531,3005.838869
1,3317.06,32.958,4.938,3019.024964
1,3330.47,29.083,2.098,3037.791789
1,3342.08,37.779,2.469,3054.184819
1,3354.05,39.752,4.248,3071.227286
1,3364.99,50.42,4.222,3086.928593
1,3375.56,23.237,2.443,3102.212549
1,3386.47,35.8786,3.50471,3118.105309
1,3395.26,39.7515,5.65533,3130.996416
1,3403.01,39.7515,4.93846,3142.426387
1,3417.15,0,0,3163.435316
2,2837.06,0,0,2465.700164
2,2846.82,37.6323,6.17307,2474.65633
2,2858.27,35.1662,9.25961,2485.284735
2,2868.83,23.0178,5.74162,2495.203215
2,2876.33,40.0072,7.03598,2502.315315
2,2886.45,30.3251,5.27698,2512.001066
2,2905.83,40.0072,6.60452,2530.835325
2,2919.9,44.8483,8.82816,2544.744435
2,2949.84,38.7284,6.17307,2575.000901
2,2964.22,22.4784,7.35377,2589.851558
2,2972.74,38.5623,10.142,2598.747972
2,2984.19,32.7,14.5366,2610.818161
2,2990.79,25.3927,14.5366,2617.835215
2,2999.16,27.9502,14.072,2626.796765
2,3007.09,27.9502,13.6405,2635.351847
2,3014.56,21.8304,11.8815,2643.468189
2,3029.09,31.5125,9.69106,2659.415227
2,3044.97,26.4575,9.15016,2677.085379
2,3064.04,24.2053,7.17703,2698.638389
2,3088.27,36.4221,5.5176,2726.547835
2,3109.89,31.5053,5.57778,2751.946579
2,3120.17,33.3393,6.59623,2764.187283
2,3129.01,36.4221,8.21417,2774.797847
2,3138.88,28.7723,6.05691,2786.737043
2,3149.92,31.8551,5.47611,2800.206947
2,3159.25,31.8551,4.9368,2811.685506
2,3170.25,36.4221,6.63771,2825.330456
2,3179.62,28.7723,8.79497,2837.048906
2,3188.96,33.3393,10.4544,2848.817213
2,3212.11,34.9378,4.39748,2878.362053
2,3222.56,40.8749,11.533,2891.874269
2,3233.02,33.2252,12.0723,2905.508774
2,3257.2,45.442,9.91508,2937.44596
2,3268.78,45.442,9.91508,2952.94799
2,3279.23,52.9776,10.4544,2967.052407
2,3290.23,42.4734,8.25566,2982.017137
2,3302.34,51.4933,12.6531,2998.631876
2,3312.79,60.6274,10.9937,3013.086995
2,3323.79,40.9891,6.05691,3028.420885
2,3337.56,45.442,8.25566,3047.786669
2,3350.55,47.0404,12.6531,3066.229286
2,3362.66,46.9263,19.2494,3083.5745
2,3382.44,33.028,13.495,3112.220885
2,3398.41,34.5669,12.5717,3135.634901
2,3412.54,18.8224,8.80726,3156.563904
2,3421.65,31.3707,8.78359,3170.163266
2,3433.59,0,0,3188.112907
3,2822.51,0,0,2452.525357
3,2831.49,4.26112,8.37721,2460.631603
3,2841.41,13.5915,12.6913,2469.680131
3,2863.95,16.4413,14.4437,2490.605816
3,2872.39,32.9557,13.0365,2498.572079
3,2882.96,34.9287,9.53176,2508.649253
3,2906.74,30.2338,8.36352,2531.728932
3,2917.3,31.9614,13.6075,2542.159255
3,2923.01,37.541,14.968,2547.845587
3,2950.75,26.6715,7.03598,2575.934556
3,2962.43,24.3107,14.1544,2587.991703
3,2968.67,30.4978,15.3248,2594.489103
3,2975.54,31.5125,16.727,2601.687524
3,2983.77,29.0463,15.3995,2610.373095
3,2991.71,24.2053,14.5034,2618.816809
3,2999.17,24.2053,14.968,2626.807513
3,3007.11,23.0178,14.5366,2635.373503
3,3013.76,20.643,12.3461,2642.596301
3,3026.92,24.2966,12.313,2657.020187
3,3043.71,20.3872,12.3196,2675.674129
3,3067.43,24.2601,9.87692,2702.507853
3,3086.09,19.3642,6.34565,2724.012757
3,3109.11,40.3172,8.37317,2751.022123
3,3119,36.4778,12.1072,2762.7888
3,3127.73,33.3795,13.5303,2773.256637
3,3137.31,36.4778,10.9814,2784.831385
3,3148.02,37.9977,12.1072,2797.880074
3,3157.6,38.8161,11.8311,2809.6492
3,3168.3,27.9429,11.2788,2822.902755
3,3177.88,24.7862,14.3799,2834.866163
3,3188,26.6715,12.3461,2847.6036
3,3210.46,40.0072,10.9854,2876.238528
3,3223.21,26.6715,11.0186,2892.718349
3,3232.9,19.6229,11.1656,2905.351735
3,3255,35.1662,14.968,2934.516
3,3267.13,21.7461,14.6451,2950.730959
3,3277.13,28.7248,14.948,2964.209259
3,3287,28.2928,14.442,2977.6104
3,3299.11,27.4128,17.42,2994.186023
3,3310.09,24.8286,15.5656,3009.341717
3,3322.36,22.2579,14.0234,3026.420637
3,3335.79,29.447,12.9327,3045.286765
3,3348.34,33.4423,16.0993,3063.079716
3,3360.56,33.4423,17.2831,3080.556149
3,3380.49,33.2943,16.0993,3109.379413
3,3397.78,33.4423,14.9155,3134.70641
3,3409.56,20.8993,13.6157,3152.133389
3,3421.77,20.2725,14.4046,3170.342955
3,3441.85,15.6853,9.44058,3200.613756
3,3459.39,16.743,7.21481,3227.385409
3,3488.99,0,0,3273.262153
4,2701.46,0,0,2351.123588
4,2716.22,14.8904,2.88194,2362.703398
4,2723.43,22.3356,5.04339,2368.439133
4,2731.9,22.3356,5.04339,2375.243635
4,2742.12,17.6283,5.28024,2383.549531
4,2747.98,24.7865,6.78611,2388.359126
4,2765.97,25.6046,2.54888,2403.338949
4,2809.5,18.5896,15.4845,2440.924275
4,2839.95,17.8297,13.5091,2468.342216
4,2861.21,8.69563,15.8509,2488.034929
4,2869.66,17.9678,15.8348,2495.98752
4,2878.47,32.9557,14.7888,2504.354949
4,2896.34,47.8764,15.7132,2521.565636
4,2914.87,31.8012,15.2083,2539.749217
4,2920.8,41.9144,16.3553,2545.64088
4,2929.51,24.7862,14.0826,2554.358327
4,2943.59,46.5326,15.2083,2568.610807
4,2959.1,30.1021,14.8967,2584.540275
4,2965.65,24.0262,17.1837,2591.339666
4,2973.49,20.9864,16.6315,2599.534583
4,2982.52,26.3646,16.058,2609.049539
4,2990.43,26.3646,15.7818,2617.451343
4,2997.75,25.6046,16.3341,2625.282206
4,3006.21,26.3646,15.4845,2634.399379
4,3013.54,40.336,13.8064,2642.356644
4,3022.53,34.8994,13.2329,2652.189321
4,3042.7,22.5063,11.5549,2674.544035
4,3082.57,58.184,11.4501,2719.929451
4,3105.28,35.1662,11.9147,2746.491635
4,3116.77,33.9787,15.3995,2760.127105
4,3134.55,35.1662,18.0546,2781.487286
4,3145.09,33.8874,20.245,2794.298867
4,3154.44,47.2231,17.1917,2805.756965
4,3166.58,31.0412,15.4845,2820.764554
4,3176.51,17.0113,16.058,2833.149697
4,3186.29,27.1239,12.5747,2845.444135
4,3209.89,25.21,16.9129,2875.505579
4,3220.12,10.6686,15.8509,2888.709491
4,3229.95,38.7284,14.1051,2901.495716
4,3253.06,35.1662,18.486,2931.936324
4,3264.02,34.5798,19.4914,2946.559594
4,3284.86,46.7607,20.4064,2974.696512
4,3296.74,49.6893,21.5726,2990.930532
4,3306.43,46.0357,24.6591,3004.276423
4,3319.17,35.2253,22.0271,3021.965913
4,3333.4,52.3649,21.5421,3041.91616
4,3342.19,51.4933,22.5682,3054.340781
4,3355.38,50.009,20.3695,3073.129738
4,3367.5,49.8948,18.7101,3090.547875
4,3376.38,37.9064,17.5899,3103.402918
4,3386.75,40.8749,18.7101,3118.514756
4,3396.25,43.9577,17.0506,3132.453156
4,3405.31,37.9064,17.0506,3145.830065
4,3424.42,41.3904,21.9705,3174.314762
4,3437.51,34.4038,18.0887,3194.037007
4,3468.83,28.7594,14.6969,3241.921215
4,3484.23,9.24842,7.95347,3265.825557
4,3506.29,0,0,3300.480935
4,3522.54,0,0,3326.320304
5,2656.64,37.8207,7.57114,2317.295693
5,2670.01,34.11,10.3196,2327.176457
5,2678.77,43.5295,12.3939,2333.747245
5,2692.37,28.4012,8.29714,2344.100517
5,2702.69,30.2566,11.7197,2352.080251
5,2706.16,28.4012,15.8164,2354.787285
5,2714,24.5478,14.4681,2360.9478
5,2724.89,22.6924,11.7197,2369.606929
5,2735.04,26.9189,13.1636,2377.784429
5,2739.19,20.3912,14.933,2381.157611
5,2747.9,25.8037,13.7318,2388.293235
5,2809.01,24.3194,14.8519,2440.490647
5,2823.67,39.2765,14.2711,2453.567953
5,2839.02,27.288,12.6946,2467.491094
5,2850.59,30.3708,15.972,2478.141337
5,2859.81,22.721,15.9305,2486.724235
5,2866.21,15.1372,17.4129,2492.731979
5,2876.02,15.8254,16.1179,2502.020234
5,2892.4,21.1096,18.5772,2517.74356
5,2912.27,34.11,15.8164,2537.177115
5,2917.76,32.1119,17.8907,2542.616141
5,2926.06,39.8188,16.4906,2550.896304
5,2940.48,34.11,15.8164,2565.445651
5,2956,20.3016,15.7887,2581.3372
5,2962.85,27.8589,18.486,2588.427806
5,2971.43,24.2053,17.1917,2597.375373
5,2980.66,23.0178,15.3995,2607.08298
5,2987.8,23.1092,16.2956,2614.65088
5,2995.16,24.2053,16.727,2622.505325
5,3003.53,24.2053,17.1917,2631.503451
5,3010.65,35.1662,14.5366,2639.212916
5,3024.23,25.3927,11.4501,2654.057757
5,3039.45,17.9704,13.5258,2670.914516
5,3060.78,39.7119,13.0925,2694.92815
5,3077.98,39.7682,14.1035,2714.623526
5,3102.35,35.2589,18.55,2743.035656
5,3113.64,36.4221,17.6314,2756.399573
5,3121.63,33.3393,19.2494,2765.934319
5,3132.35,33.3393,17.6314,2778.827156
5,3141.11,33.3393,19.7887,2789.448043
5,3150.84,33.3393,19.2909,2801.334941
5,3161.95,23.9198,19.2842,2815.023516
5,3172.51,26.681,17.3289,2828.148857
5,3182.42,30.3708,15.972,2840.567722
5,3208.32,25.024,17.1646,2873.488435
5,3218.19,18.2681,15.972,2886.210421
5,3225.63,41.1781,17.0505,2895.864639
5,3253.19,26.5459,17.8389,2932.109071
5,3262.08,41.6742,21.3133,2943.962419
5,3272.4,39.8188,21.9874,2957.82156
5,3284.07,41.6742,21.3651,2973.621981
5,3304.71,43.3251,26.1843,3001.900639
5,3318.5,41.5315,23.3876,3021.031575
5,3330.85,43.5295,24.1136,3038.326206
5,3341.62,41.6742,23.3876,3053.532746
5,3353.61,35.9654,21.9874,3070.598293
5,3365.73,39.8188,19.965,3087.994977
5,3376.25,35.9654,18.5649,3103.214156
5,3385.75,36.052,21.9369,3117.052806
5,3394.43,45.5276,21.3651,3129.775863
5,3405.84,43.5295,19.9131,3146.615141
5,3414.39,47.383,21.3651,3159.318859
5,3425.87,49.2383,22.0393,3176.490987
5,3436.62,41.6742,18.5649,3192.690646
5,3453.78,42.6829,23.9966,3218.78929
5,3482.84,47.2759,11.2141,3263.658221
5,3515.47,32.2154,24.2747,3315.045739
5,3525.94,54.5903,23.2061,3331.7601
5,3581.18,29.3125,22.3479,3421.760422
5,3595.64,42.6375,23.2061,3445.823453
6,2680.21,27.183,8.09801,2334.834719
6,2689.64,27.183,8.44317,2342.007413
6,2698.8,25.21,13.0365,2349.05988
6,2704.19,24.187,16.196,2353.248961
6,2713.41,19.3642,10.9124,2360.482051
6,2724.41,11.6185,9.87692,2369.222761
6,2731.91,22.2871,14.4437,2375.251711
6,2737.69,26.3646,14.1038,2379.936401
6,2747.11,14.7314,12.6807,2387.642903
6,2778.7,23.0178,14.5034,2414.134435
6,2835.07,19.3642,13.6405,2463.885751
6,2857.65,16.898,14.072,2484.705866
6,2864.28,18.1768,16.727,2490.915955
6,2872.34,21.2367,17.0506,2498.524676
