Fault No.,No.,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
1,1,2892,2898,1680,1676,6,4,50,15,52.2
1,2,3012,3034,1666,1662,22,4,50,55,74.3
1,3,3032,3064,1664,1660,32,4,50,80,94.3
1,4,3204,3246,1646,1636,42,10,125,105,163.2
1,5,3268,3296,1634,1624,28,10,125,70,143.3
1,6,3314,3344,1626,1614,30,12,150,75,167.7
1,7,3384,3400,1624,1612,16,12,150,40,155.2
1,8,3620,3716,1590,1566,96,24,300,240,384.2
1,9,3732,3822,1568,1548,90,20,250,225,336.3
1,10,3880,3944,1550,1532,64,18,225,160,276.1
1,11,3992,4056,1532,1506,64,26,325,160,362.2
1,12,4158,4220,1488,1468,62,20,250,155,294.2
1,13,4288,4336,1460,1446,48,14,175,120,212.2
1,14,4344,4392,1432,1416,48,16,200,120,233.2
1,15,4428,4486,1398,1376,58,22,275,145,310.9
1,16,4540,4554,1350,1330,14,20,250,35,252.4
2,1,2884,2896,1684,1676,12,8,100,30,104.4
2,2,2948,2974,1676,1668,26,8,100,65,119.3
2,3,3006,3046,1670,1664,40,6,75,100,125.0
2,4,3132,3158,1656,1646,26,10,125,65,140.9
2,5,3204,3224,1650,1636,20,14,175,50,182.0
2,6,3276,3310,1638,1624,34,14,175,85,194.6
2,7,3368,3392,1626,1616,24,10,125,60,138.7
2,8,3418,3442,1618,1608,24,10,125,60,138.7
2,9,3606,3664,1586,1572,58,14,175,145,227.3
2,10,3664,3720,1584,1568,56,16,200,140,244.1
2,11,3782,3860,1564,1552,78,12,150,195,246.0
2,12,3896,3984,1550,1536,88,14,175,220,281.1
2,13,4016,4058,1546,1528,42,18,225,105,248.3
2,14,4164,4200,1504,1494,36,10,125,90,154.0
2,15,4208,4236,1486,1474,28,12,150,70,165.5
2,16,4400,4418,1422,1414,18,8,100,45,109.7
3,1,2882,2894,1680,1676,12,4,50,30,58.3
3,2,2962,2986,1668,1662,24,6,75,60,96.0
3,3,3014,3050,1662,1656,36,6,75,90,117.2
3,4,3212,3218,1638,1632,6,6,75,15,76.5
3,5,3282,3298,1620,1614,16,6,75,40,85.0
3,6,3310,3330,1622,1606,20,16,200,50,206.2
3,7,3370,3390,1608,1602,20,6,75,50,90.1
3,8,3540,3582,1584,1576,42,8,100,105,145.0
3,9,3678,3714,1570,1564,36,6,75,90,117.2
3,10,3926,3950,1532,1518,24,14,175,60,185.0
3,11,4144,4172,1486,1474,28,12,150,70,165.5
3,12,4260,4282,1454,1444,22,10,125,55,136.6
3,13,4318,4332,1440,1434,14,6,75,35,82.8
3,14,4374,4388,1416,1406,14,10,125,35,129.8
3,15,4456,4470,1382,1370,14,12,150,35,154.0
3,16,4506,4518,1318,1310,12,8,100,30,104.4
4,1,2934,2958,1634,1626,24,8,100,60,116.6
4,2,3050,3080,1618,1614,30,4,50,75,90.1
4,3,3152,3188,1608,1598,36,10,125,90,154.0
4,4,3210,3260,1600,1586,50,14,175,125,215.1
4,5,3276,3320,1592,1578,44,14,175,110,206.7
4,6,3378,3422,1574,1562,44,12,150,110,186.0
4,7,3472,3504,1556,1540,32,16,200,80,215.4
4,8,3490,3512,1552,1542,22,10,125,55,136.6
4,9,3588,3656,1540,1524,68,16,200,170,262.5
4,10,3624,3688,1546,1526,64,20,250,160,296.8
4,11,3724,3768,1522,1498,44,24,300,110,319.5
4,12,3838,3876,1518,1492,38,26,325,95,338.6
4,13,3948,4010,1490,1472,62,18,225,155,273.2
4,14,4050,4082,1472,1452,32,20,250,80,262.5
4,15,4216,4234,1440,1426,18,14,175,45,180.7
4,16,4354,4364,1416,1402,10,14,175,25,176.8
5,1,2898,2916,1662,1654,18,8,100,45,109.7
5,2,2952,2974,1656,1650,22,6,75,55,93.0
5,3,3024,3046,1648,1644,22,4,50,55,74.3
5,4,3180,3210,1634,1630,30,4,50,75,90.1
5,5,3328,3348,1612,1604,20,8,100,50,111.8
5,6,3366,3386,1608,1602,20,6,75,50,90.1
5,7,3484,3522,1588,1578,38,10,125,95,157.0
5,8,3552,3606,1570,1562,54,8,100,135,168.0
5,9,3610,3666,1570,1560,56,10,125,140,187.7
5,10,3678,3710,1572,1550,32,22,275,80,286.4
5,11,3746,3760,1556,1546,14,10,125,35,129.8
5,12,3862,3892,1538,1520,30,18,225,75,237.2
