Distance (km),CDP HW,CDP FW,Heave (CDP Diff),Heave (m),Z (ms) HW,Z (ms) FW,Throw (Z Diff),Throw (m),Displacement (m),,
0.000,2149,2160,11,137.5,3710,3770,60,150,150.0,,
0.125,2152,2163,11,137.5,3712,3770,58,145,149.2,,
0.250,2143,2155,12,150.0,3724,3768,44,110,156.3,,
0.375,2137,2150,13,162.5,3718,3772,54,135,171.2,,
0.500,2140,2148,8,100.0,3714,3774,60,150,116.6,,
0.625,2138,2144,6,75.0,3730,3780,50,125,90.1,,
0.750,2139,2147,8,100.0,3726,3778,52,130,112.7,,
0.875,2137,2148,11,137.5,3716,3774,58,145,149.2,,
1.000,2134,2147,13,162.5,3712,3776,64,160,174.6,,
1.125,2133,2147,14,175.0,3716,3782,66,165,187.0,,
1.250,2133,2146,13,162.5,3718,3810,92,230,186.7,,
1.375,2127,2148,21,262.5,3700,3804,104,260,282.4,,
1.500,2115,2137,22,275.0,3736,3790,54,135,280.3,,
1.625,2115,2122,7,87.5,3742,3768,26,65,91.3,,
1.750,2093,2109,16,200.0,3736,3798,62,155,209.4,,
1.875,2091,2103,12,150.0,3732,3786,54,135,159.4,,
2.000,2084,2094,10,125.0,3726,3782,56,140,137.0,,
2.125,2080,2092,12,150.0,3742,3772,30,75,153.0,,
2.250,2077,2094,17,212.5,3726,3780,54,135,219.3,,
2.375,2082,2094,12,150.0,3732,3804,72,180,166.4,,
2.500,2081,2097,16,200.0,3724,3818,94,235,221.0,,
2.625,2082,2094,12,150.0,3726,3794,68,170,164.7,,
2.750,2079,2092,13,162.5,3720,3800,80,200,181.1,,
2.875,2077,2093,16,200.0,3718,3792,74,185,213.3,,
3.000,2077,2090,13,162.5,3736,3804,68,170,176.2,,
3.125,2076,2088,12,150.0,3736,3822,86,215,172.9,,
3.250,2073,2089,16,200.0,3732,3814,82,205,216.2,,
3.375,2072,2088,16,200.0,3722,3802,80,200,215.4,,
3.500,2076,2087,11,137.5,3720,3816,96,240,167.7,,
3.625,2076,2091,15,187.5,3736,3828,92,230,208.9,,
3.750,2077,2093,16,200.0,3738,3822,84,210,216.9,,
3.875,2079,2097,18,225.0,3726,3838,112,280,251.3,,
4.000,2071,2091,20,250.0,3732,3826,94,235,267.1,,
4.125,2072,2087,15,187.5,3732,3826,94,235,209.7,,
4.250,2071,2087,16,200.0,3744,3838,94,235,221.0,,
4.375,2071,2091,20,250.0,3726,3822,96,240,267.8,,
4.500,2076,2093,17,212.5,3736,3826,90,225,230.8,,
4.625,2080,2096,16,200.0,3720,3828,108,270,227.3,,
4.750,2080,2099,19,237.5,3724,3834,110,275,261.7,,
4.875,2084,2102,18,225.0,3728,3838,110,275,250.4,,
5.000,2086,2106,20,250.0,3738,3844,106,265,271.5,,
5.125,2075,2112,37,462.5,3750,3848,98,245,472.8,,
5.250,2101,2117,16,200.0,3714,3848,134,335,240.7,,
5.375,2101,2120,19,237.5,3726,3858,132,330,271.7,,
5.500,2107,2127,20,250.0,3726,3860,134,335,283.6,,
5.625,2111,2133,22,275.0,3738,3856,118,295,299.2,,
5.750,2117,2142,25,312.5,3734,3856,122,305,335.5,,
5.875,2124,2143,19,237.5,3720,3848,128,320,269.8,,
6.000,2126,2142,16,200.0,3730,3832,102,255,224.5,,
6.125,2130,2144,14,175.0,3730,3834,104,260,203.6,,
6.250,2133,2151,18,225.0,3736,3830,94,235,243.8,,
6.375,2137,2160,23,287.5,3746,3854,108,270,307.1,,
6.500,2153,2168,15,187.5,3742,3844,102,255,213.4,,
6.625,2158,2169,11,137.5,3722,3830,108,270,174.8,,
6.750,2167,2180,13,162.5,3728,3820,92,230,186.7,,
6.875,2171,2191,20,250.0,3736,3820,84,210,263.7,,
7.000,2184,2197,13,162.5,3740,3808,68,170,176.2,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
