Inline No.,Hangingwall,Footwall,Throw,,,,,,,,
8418,3126.29,3126.29,0,,,,,,,,
8417,3124.9,3125.59,0.69,,,,,,,,
8416,3122.79,3124.57,1.78,,,,,,,,
8415,3121.35,3123,1.65,,,,,,,,
8414,3120.06,3121.74,1.68,,,,,,,,
8413,3117.96,3120.29,2.33,,,,,,,,
8412,3117.05,3118.54,1.49,,,,,,,,
8411,3116.45,3117.39,0.94,,,,,,,,
8410,3115.15,3116.18,1.03,,,,,,,,
8409,3114.53,3115.53,1,,,,,,,,
8408,3112.94,3114.28,1.34,,,,,,,,
8407,3111.92,3112.7,0.78,,,,,,,,
8406,3110.7,3112.37,1.67,,,,,,,,
8405,3110.14,3111.19,1.05,,,,,,,,
8404,3109.33,3111.04,1.71,,,,,,,,
8403,3107.81,3110.39,2.58,,,,,,,,
8402,3106.35,3110.09,3.74,,,,,,,,
8401,3105.08,3109.32,4.24,,,,,,,,
8400,3103.63,3108.09,4.46,,,,,,,,
8399,3102.64,3106.18,3.54,,,,,,,,
8398,3100.64,3105.35,4.71,,,,,,,,
8397,3100,3104.76,4.76,,,,,,,,
8396,3099.89,3104.28,4.39,,,,,,,,
8395,3098.69,3103.58,4.89,,,,,,,,
8394,3097.71,3104.18,6.47,,,,,,,,
8393,3096.81,3103.3,6.49,,,,,,,,
8392,3096.07,3102.41,6.34,,,,,,,,
8391,3095.44,3101.81,6.37,,,,,,,,
8390,3095.39,3100.26,4.87,,,,,,,,
8389,3095.59,3100.2,4.61,,,,,,,,
8388,3095.55,3099.54,3.99,,,,,,,,
8387,3094.7,3099.9,5.2,,,,,,,,
8386,3094.42,3099.78,5.36,,,,,,,,
8385,3095.51,3101.09,5.58,,,,,,,,
8384,3095.22,3101.78,6.56,,,,,,,,
8383,3095.02,3101.97,6.95,,,,,,,,
8382,3095.56,3102.33,6.77,,,,,,,,
8381,3096.56,3102.93,6.37,,,,,,,,
8380,3096.95,3103.57,6.62,,,,,,,,
8379,3096.3,3103.51,7.21,,,,,,,,
8378,3096.27,3103.29,7.02,,,,,,,,
8377,3097.2,3103.41,6.21,,,,,,,,
8376,3097.13,3103.61,6.48,,,,,,,,
8375,3096.65,3104.04,7.39,,,,,,,,
8374,3097.47,3104.39,6.92,,,,,,,,
8373,3097.8,3105.24,7.44,,,,,,,,
8372,3097.82,3104.52,6.7,,,,,,,,
8371,3097.07,3104.06,6.99,,,,,,,,
8370,3097.06,3104.89,7.83,,,,,,,,
8369,3097.2,3104.93,7.73,,,,,,,,
8368,3097.32,3102.88,5.56,,,,,,,,
8367,3097.65,3104.32,6.67,,,,,,,,
8366,3098.46,3105.61,7.15,,,,,,,,
8365,3099.41,3104.88,5.47,,,,,,,,
8364,3099.79,3104.98,5.19,,,,,,,,
8363,3100.57,3104.98,4.41,,,,,,,,
8362,3100.32,3104.98,4.66,,,,,,,,
8361,3100.07,3105.68,5.61,,,,,,,,
8360,3101.05,3104.93,3.88,,,,,,,,
8359,3101.91,3105.83,3.92,,,,,,,,
8358,3102.65,3105.31,2.66,,,,,,,,
8357,3103.85,3104.44,0.59,,,,,,,,
