Xline No.,Hangingwall,Footwall,Throw,,,,,,,,
4236,3226.67,3232.44,5.77,,,,,,,,
4235,3226.22,3233.67,7.45,,,,,,,,
4234,3225.65,3233.48,7.83,,,,,,,,
4233,3224.02,3234,9.98,,,,,,,,
4232,3222.78,3233.52,10.74,,,,,,,,
4231,3223.73,3234.63,10.9,,,,,,,,
4230,3223.35,3235.11,11.76,,,,,,,,
4229,3223.83,3235.4,11.57,,,,,,,,
4228,3224.21,3235.49,11.28,,,,,,,,
4227,3224.21,3236.16,11.95,,,,,,,,
4226,3223.35,3237.02,13.67,,,,,,,,
4225,3223.06,3237.41,14.35,,,,,,,,
4224,3223.06,3237.41,14.35,,,,,,,,
4223,3222.97,3237.98,15.01,,,,,,,,
4222,3222.97,3239.32,16.35,,,,,,,,
4221,3222.78,3239.89,17.11,,,,,,,,
4220,3223.64,3240.56,16.92,,,,,,,,
4219,3224.21,3241.22,17.01,,,,,,,,
4218,3224.4,3241.61,17.21,,,,,,,,
4217,3223.83,3241.9,18.07,,,,,,,,
4216,3223.35,3244,20.65,,,,,,,,
4215,3225.16,3244.1,18.94,,,,,,,,
4214,3225.74,3244.19,18.45,,,,,,,,
4213,3227.46,3244.46,17,,,,,,,,
4212,3228.42,3244.48,16.06,,,,,,,,
4211,3229.09,3245.05,15.96,,,,,,,,
4210,3229.28,3247.25,17.97,,,,,,,,
4209,3229.66,3248.01,18.35,,,,,,,,
4208,3229.66,3246.11,16.45,,,,,,,,
4207,3233.1,3249.45,16.35,,,,,,,,
4206,3233.58,3249.83,16.25,,,,,,,,
4205,3234.25,3250.98,16.73,,,,,,,,
4204,3234.92,3250.59,15.67,,,,,,,,
4203,3236.45,3250.21,13.76,,,,,,,,
4202,3236.64,3252.03,15.39,,,,,,,,
4201,3237.02,3252.03,15.01,,,,,,,,
4200,3235.68,3249.16,13.48,,,,,,,,
4199,3234.61,3250.19,15.58,,,,,,,,
4198,3235.85,3250.76,14.91,,,,,,,,
4197,3236.25,3250.58,14.33,,,,,,,,
4196,3235.92,3249,13.08,,,,,,,,
4195,3236.61,3249.15,12.54,,,,,,,,
4194,3237.75,3249.76,12.01,,,,,,,,
4193,3238.37,3249.56,11.19,,,,,,,,
4192,3239.1,3248.77,9.67,,,,,,,,
4191,3239.41,3247.91,8.5,,,,,,,,
4190,3240.26,3249.99,9.73,,,,,,,,
4189,3240.63,3252.5,11.87,,,,,,,,
4188,3240.38,3252.07,11.69,,,,,,,,
4187,3241.43,3250.05,8.62,,,,,,,,
4186,3242.59,3249.93,7.34,,,,,,,,
4185,3244.12,3250.79,6.67,,,,,,,,
4184,3244.24,3251.64,7.4,,,,,,,,
4183,3244.25,3248.19,3.94,,,,,,,,
4182,3245,3248.25,3.25,,,,,,,,
4181,3245,3248.25,3.25,,,,,,,,
4180,3247.76,3249.98,2.22,,,,,,,,
4179,3245.5,3248.68,3.18,,,,,,,,
4178,,,0,,,,,,,,
4177,,,0,,,,,,,,
4176,,,0,,,,,,,,
4175,,,0,,,,,,,,
4174,3244.95,3249.36,4.41,,,,,,,,
4173,3244.83,3248.32,3.49,,,,,,,,
4172,3246.12,3248.07,1.95,,,,,,,,
4171,3246.66,3248.68,2.02,,,,,,,,
4170,3247.09,3249.24,2.15,,,,,,,,
4169,3246.76,3249.9,3.14,,,,,,,,
4168,3249.22,3249.96,0.74,,,,,,,,
4167,3249.28,3249.84,0.56,,,,,,,,
4166,3249.9,3250.02,0.12,,,,,,,,
4165,3250.4,3250.93,0.53,,,,,,,,
4164,3250.02,3251.37,1.35,,,,,,,,
4163,3249.68,3252.22,2.54,,,,,,,,
4162,3250.28,3252.21,1.93,,,,,,,,
4161,3249.15,3252.68,3.53,,,,,,,,
4160,3248.53,3253.42,4.89,,,,,,,,
4159,3249.34,3253.33,3.99,,,,,,,,
4158,3249.28,3254.77,5.49,,,,,,,,
4157,3248.44,3255.67,7.23,,,,,,,,
4156,3248.5,3257.3,8.8,,,,,,,,
4155,3248.78,3258.15,9.37,,,,,,,,
4154,3248.96,3258.63,9.67,,,,,,,,
4153,3248.84,3258.35,9.51,,,,,,,,
4152,3248.53,3259.42,10.89,,,,,,,,
4151,3248.47,3260.41,11.94,,,,,,,,
4150,3248.59,3261.04,12.45,,,,,,,,
4149,3249.13,3261.66,12.53,,,,,,,,
4148,3249.52,3262.33,12.81,,,,,,,,
4147,3250.01,3263.25,13.24,,,,,,,,
4146,3250.36,3263.48,13.12,,,,,,,,
4145,3250.05,3263.09,13.04,,,,,,,,
4144,3250.67,3263.92,13.25,,,,,,,,
4143,3251.21,3262.71,11.5,,,,,,,,
4142,3251.01,3263.44,12.43,,,,,,,,
4141,3251.84,3264.81,12.97,,,,,,,,
4140,3253.23,3264.67,11.44,,,,,,,,
4139,3253.07,3264.81,11.74,,,,,,,,
4138,3253.36,3264.71,11.35,,,,,,,,
4137,3253.11,3262.17,9.06,,,,,,,,
4136,3253,3261.97,8.97,,,,,,,,
4135,3253.13,3263.69,10.56,,,,,,,,
4134,3253.24,3265.18,11.94,,,,,,,,
4133,3253.18,3265.62,12.44,,,,,,,,
4132,3252.87,3266.15,13.28,,,,,,,,
4131,3252.93,3267.92,14.99,,,,,,,,
4130,3253.18,3268.59,15.41,,,,,,,,
4129,3252.87,3269.9,17.03,,,,,,,,
4128,3252.99,3269.02,16.03,,,,,,,,
