Inline No.,Hangingwall,Footwall,Throw
8441,3127.84,3128.27,0.429999999999836
8440,3126.68,3127.6,0.920000000000073
8439,3125.66,3126.58,0.920000000000073
8438,3124.88,3125.79,0.909999999999854
8437,3123.49,3125.15,1.66000000000031
8436,3122.76,3124.51,1.75
8435,3121.83,3123.87,2.03999999999996
8434,3120.51,3122.58,2.06999999999971
8433,3119.31,3121.45,2.13999999999987
8432,3115.46,3119.03,3.57000000000016
8431,3111.28,3118.37,7.08999999999969
8430,3110.58,3118.47,7.88999999999987
8429,3109.6,3117.35,7.75
8428,3110.41,3116.74,6.32999999999993
8427,3110.28,3116.64,6.35999999999967
8426,3109.59,3116.7,7.10999999999967
8425,3108.81,3117.3,8.49000000000024
8424,3108.93,3118.08,9.15000000000009
8423,3105.33,3118.13,12.8000000000002
8422,3103.64,3117.78,14.1400000000003
8421,3102.24,3116.6,14.3600000000001
8420,3101.79,3114.75,12.96
8419,3102.78,3116.4,13.6199999999999
8418,3104.3,3116.48,12.1799999999998
8417,3104.66,3116.4,11.7400000000002
8416,3104.38,3116.4,12.02
8415,3103.01,3117.12,14.1099999999997
8414,3102.7,3117.54,14.8400000000001
8413,3102.23,3119.02,16.79
8412,3101.76,3119.81,18.0499999999997
8411,3100.97,3119.22,18.25
8410,3100.37,3118.61,18.2400000000002
8409,3100.01,3118.55,18.54
8408,3100.87,3119.29,18.4200000000001
8407,3101.3,3120.51,19.21
8406,3101.24,3120.27,19.0300000000002
8405,3101.55,3120.7,19.1499999999996
8404,3101.73,3120.39,18.6599999999999
8403,3101.1,3121.75,20.6500000000001
8402,3101.33,3123.25,21.9200000000001
8401,3101.49,3123.74,22.25
8400,3101.49,3123.59,22.1000000000004
8399,3100.03,3122.24,22.2099999999996
8398,3101.49,3122.82,21.3300000000004
8397,3100.65,3122.75,22.0999999999999
8396,3099.42,3122.52,23.0999999999999
8395,3097.88,3121.67,23.79
8394,3096.39,3121.24,24.8499999999999
8393,3094.14,3121.52,27.3800000000001
8392,3095.98,3128.3,32.3200000000002
8391,3095.63,3129.16,33.5299999999997
8390,3095.36,3129.77,34.4099999999999
8389,3095.51,3137.05,41.54
8388,3095.08,3137.6,42.52
8387,3094.62,3136.75,42.1300000000001
8386,3094.85,3139.21,44.3600000000001
8385,3094.46,3138.67,44.21
8384,3094.24,3138.67,44.4300000000003
8383,3093.61,3138.91,45.2999999999997
8382,3092.65,3140.25,47.5999999999999
8381,3093.12,3141.02,47.9000000000001
8380,3092.07,3141.69,49.6199999999999
8379,3090.26,3142.74,52.4799999999996
8378,3091.02,3143.74,52.7199999999998
8377,3090.35,3146.27,55.9200000000001
8376,3091.2,3148.37,57.1700000000001
8375,3092.35,3151.13,58.7800000000002
8374,3093.27,3152.26,58.9900000000002
8373,3092.99,3151.69,58.7000000000003
8372,3093.18,3153.21,60.0300000000002
8371,3092.89,3155.03,62.1400000000003
8370,3092.89,3154.55,61.6600000000003
8369,3092.85,3154.51,61.6600000000003
8368,3092.75,3153.3,60.5500000000002
8367,3092.66,3151.07,58.4100000000003
8366,3092.09,3149.92,57.8299999999999
8365,3091.99,3149.06,57.0700000000002
8364,3092.36,3149.29,56.9299999999998
8363,3092.7,3149.86,57.1600000000003
8362,3093.65,3152.06,58.4099999999999
8361,3094.52,3152.73,58.21
8360,3096.04,3154.07,58.0300000000002
8359,3095.85,3154.07,58.2200000000003
8358,3095.66,3149.58,53.9200000000001
8357,3096.71,3151.2,54.4899999999998
8356,3097,3149.09,52.0900000000001
8355,3097.19,3149,51.8099999999999
8354,3098.24,3148.62,50.3800000000001
8353,3101.3,3149.2,47.8999999999996
8352,3101.3,3149.09,47.79
8351,3102.38,3149.39,47.0099999999998
8350,3102.02,3148.48,46.46
8349,3103.11,3148.71,45.5999999999999
8348,3104.84,3148.14,43.2999999999997
8347,3105.41,3146.42,41.0100000000002
8346,3105.99,3147.19,41.2000000000003
8345,3104.19,3145.17,40.98
8344,3104.65,3143.17,38.52
8343,3105.41,3142.41,37
8342,3107.42,3140.11,32.6900000000001
8341,3109.23,3138.2,28.9699999999998
8340,3110.96,3137.34,26.3800000000001
8339,3112.01,3138.01,26
8338,3111.72,3135.14,23.4200000000001
8337,3113.25,3131.8,18.5500000000002
8336,3114.3,3132.56,18.2599999999998
8335,3118.6,3129.02,10.4200000000001
8334,3120.23,3124.72,4.48999999999978
8333,3118.89,3122.14,3.25
8332,3120.04,3121.67,1.63000000000011
8331,3121.37,3121.56,0.190000000000055
