Depth/ms,Heave/m,Throw/ms
2707.13,16.0617,7.43976
2714.52,16.1374,10.4551
2723.55,14.0918,12.2582
2729.58,17.1224,14.8795
2737.31,14.0918,9.84897
2745.37,6.19589,9.12688
2753.79,13.1069,10.0611
2761.68,13.0312,8.63679
2771.85,8.87824,8.93717
2779.57,12.7072,12.9577
2793.75,15.0768,9.65199
2804.27,11.8507,11.4309
2812.54,13.4452,12.6366
2820.82,13.3578,11.4259
2831.89,12.088,11.2124
2847.84,15.7444,10.0384
2855.01,15.7444,16.336
2865.35,15.7444,13.1872
2877.1,18.8223,11.601
2895.96,25.0964,8.78358
2906.12,15.626,14.1342
2918.87,20.4752,13.1788
2942.83,15.2035,11.5513
2965.17,23.21,13.2071
2976.36,25.0004,9.77331
2991.26,9.55574,5.67753
3009.09,8.20027,3.87474
3027.01,20.4873,7.72533
3036.49,14.8876,10.7416
3050.48,12.8939,6.43381
3063.57,10.8233,4.49035
3067.34,21.4029,6.26925
3078.74,8.29432,3.97302
