Profile,Depth/ms,Heave/m,Throw/ms,Depth/m
1,2696.99,12.5955,8.54209,2347.659673
1,2707.2,15.0578,6.53441,2355.60096
1,2714.12,16.289,7.80341,2361.042571
1,2724.21,9.41079,8.89719,2369.062759
1,2730.5,10.4243,10.3988,2374.113975
1,2736.28,8.33363,7.37583,2378.790515
1,2745.81,8.27843,5.88324,2386.574095
1,2755.46,10.0694,5.38884,2394.548228
1,2763.12,7.52435,3.61524,2400.944251
1,2775.22,4.58811,1.07518,2411.167178
1,2784.57,4.57366,0.0109868,2419.166991
1,2792.83,8.80741,5.7768,2426.306935
1,2802.96,6.1447,4.61471,2435.156453
1,2811.5,5.99585,4.33259,2442.696675
1,2821.53,11.3644,1.269,2451.645591
1,2831.63,3.30793,1.58686,2460.758619
1,2845.33,3.20478,2.06158,2473.282885
1,2856.62,3.606,0.516707,2483.745046
1,2866.41,3.80713,0.0208058,2492.920381
1,2876.19,4.22705,0.0347301,2502.182041
2,2692.29,19.0922,11.8642,2344.039075
2,2703.36,17.1224,12.6521,2352.601997
2,2710.42,11.0831,13.1573,2358.127082
2,2718.54,18.1073,13.4552,2364.543344
2,2731.72,10.9911,13.3716,2375.098283
2,2741.86,11.6867,10.136,2383.336932
2,2751.56,11.3351,7.69552,2391.314309
2,2759.46,9.02979,6.43548,2397.880868
2,2770.74,9.91788,7.05336,2407.365092
2,2780.14,16.9109,17.1351,2415.365808
2,2789.58,15.1669,15.246,2423.489494
2,2799.65,13.6833,13.1161,2432.253566
2,2807.85,14.8855,13.3855,2439.465056
2,2814.09,23.5574,13.495,2444.997877
2,2826.71,14.2684,13.3486,2456.306659
2,2842.46,18.305,14.3312,2470.643648
2,2850.81,20.0352,19.0488,2478.345145
2,2861.72,19.8299,16.6885,2488.512883
2,2873.78,29.4468,13.3766,2499.89089
2,2888.61,25.5995,14.9155,2514.081643
2,2902.97,17.6865,15.1278,2528.032239
2,2915.58,27.5234,13.5731,2540.452774
2,2937.66,21.0349,13.2604,2562.584
2,2968.11,12.0513,7.65473,2593.904413
2,2982.32,11.6042,3.2394,2608.837915
2,2997.3,4.18381,1.18131,2624.799255
3,2692.07,20.3612,13.1872,2343.870141
3,2702.24,18.8223,13.1872,2351.730077
3,2710.68,14.0871,12.8794,2358.331507
3,2719.69,7.90888,13.6315,2365.457381
3,2733.13,11.2912,14.8352,2376.237739
3,2740.99,10.7084,14.2795,2382.626033
3,2750.07,20.3612,14.7498,2390.082801
3,2756.98,11.4367,13.9556,2395.812746
3,2767.02,20.4796,12.2402,2404.223254
3,2775.46,25.0964,14.1342,2411.371428
3,2783.12,28.2926,15.7205,2417.920651
3,2790.17,20.9433,17.1556,2424.000183
3,2799.93,26.6363,15.389,2432.498703
3,2808.42,18.5642,15.9262,2439.968842
3,2817.15,26.7537,15.0812,2447.725316
3,2828.51,26.7537,14.442,2457.932617
3,2843.92,20.2816,18.1259,2471.985227
3,2853.72,20.9679,18.6622,2481.045523
3,2863.49,22.0552,19.0384,2490.173683
3,2876.4,21.6661,16.7572,2502.38196
3,2892.49,31.3705,14.9155,2517.830693
3,2907.56,17.3558,16.5656,2532.534869
3,2919.25,21.709,14.3652,2544.097506
3,2942.71,17.7708,10.8028,2567.714219
3,2971.81,23.5278,8.64152,2597.773355
3,2984.54,13.4663,7.44816,2611.189184
3,2999.51,11.6899,4.32076,2627.173027
3,3021.65,7.916,1.39507,2651.223266
3,3040.55,11.0675,1.89516,2672.141786
3,3051.91,8.66946,1.33111,2684.886911
4,2693.82,20.1529,12.8643,2345.21527
4,2703.07,19.0922,12.8643,2352.376111
4,2712.72,16.0617,12.4552,2359.937803
4,2721.36,15.0768,13.8795,2366.787077
4,2728.19,20.1529,13.2734,2372.254321
4,2735.83,16.1374,11.4551,2378.425225
4,2744.68,6.97016,9.65199,2385.646427
4,2753.48,12.0463,9.43986,2392.904491
4,2761.08,17.0466,7.83372,2399.235139
4,2773.16,6.94726,4.49386,2409.416405
4,2793.56,23.1834,9.43986,2426.941229
4,2804.5,16.0617,5.63664,2436.510775
4,2814.73,9.24865,5.94911,2445.567547
4,2824.95,14.0161,8.04585,2454.719966
4,2836.64,30.2293,12.4703,2465.316893
4,2850.5,14.3229,15.9364,2478.057975
4,2860.34,25.5995,18.8515,2487.220196
4,2881.98,33.4421,15.3002,2507.710246
4,2898.95,29.4468,12.1632,2524.106066
4,2912.89,27.5231,14.5308,2537.789849
4,2928.01,23.6472,9.29364,2552.851637
4,2946.58,26.7537,12.5716,2571.662954
4,2973.9,13.5308,7.40335,2599.964835
4,2992.65,15.9164,2.46354,2619.820616
4,3005.83,6.37383,3.61227,2633.988325
4,3023.33,8.34653,2.8757,2653.068225
4,3041.34,10.3889,1.6553,2673.023936
4,3053.75,8.64822,2.69947,2686.963406
4,3064.41,8.71791,2.38829,2699.060161
4,3081.42,5.61725,0.978895,2718.598102
5,2693.06,11.2131,12.6481,2344.630724
5,2702.86,11.135,13.9202,2352.212592
5,2714.26,16.3389,11.5087,2361.153156
5,2722.55,23.0558,12.5279,2367.736286
5,2726.52,16.289,15.8341,2370.913219
5,2735.81,9.56394,14.1708,2378.408995
5,2743.33,10.461,14.1548,2384.539825
5,2749.88,10.9418,17.1797,2389.925923
5,2757.64,18.846,16.3266,2396.362533
5,2772.04,20.0771,10.796,2408.466309
5,2785.96,22.6341,16.0803,2420.363733
5,2793.37,15.8332,15.4442,2426.776087
5,2803.54,16.4277,14.9727,2435.666244
5,2811.24,21.3082,16.0803,2442.466037
5,2819.49,17.1501,17.5063,2449.817323
5,2837.47,23.8652,13.5802,2466.074479
5,2852.92,13.5937,12.4615,2480.302307
5,2860.19,16.0965,15.7018,2487.079801
5,2868.62,17.9222,16.9728,2495.004886
5,2882.81,16.2673,16.2246,2508.505465
5,2900.92,13.5711,13.6932,2526.028067
5,2914.28,31.3705,17.2535,2539.164955
5,2926.83,30.8512,16.7939,2551.667955
5,2949.83,25.5995,13.7317,2574.990645
5,2975.31,17.0156,13.2385,2601.445765
5,2985.44,17.9295,13.5272,2612.143805
5,3002.01,12.0752,7.25587,2629.864177
5,3018.13,14.4226,11.1783,2647.366789
5,3036.46,24.6047,11.4402,2667.584688
5,3043.52,18.8285,15.1906,2675.461459
5,3058.52,17.8565,14.0105,2692.362259
5,3068.35,18.6967,14.977,2703.559956
5,3073.58,27.5231,15.685,2709.557014
5,3083.53,31.3705,14.1461,2721.041851
5,3092.59,20.9441,12.1261,2731.585517
5,3112.74,7.04056,2.6657,2755.329572
5,3125.89,18.8223,4.40363,2771.044019
5,3143.22,7.0626,2.04544,2792.017738
5,3155.39,18.8223,5.65842,2806.926049
5,3174.25,6.27409,2.17814,2830.322256
6,2683.51,15.626,9.11503,2337.334667
6,2694.81,10.9932,13.585,2345.977585
6,2705.17,18.8223,13.495,2354.013733
6,2715,11.6742,12.9157,2361.738
6,2722.86,13.4044,14.5196,2367.983792
6,2729.35,11.2652,14.8596,2373.187506
6,2737.24,9.44721,15.1494,2379.570477
6,2745.7,10.7137,14.8421,2386.483735
6,2753.85,20.3612,16.9516,2393.211356
6,2762.63,22.0185,15.389,2400.533349
6,2772,15.5016,13.0647,2408.4324
6,2780.8,17.0065,16.1471,2415.93088
6,2786.46,26.7537,18.8456,2420.794688
6,2797.42,18.0744,16.4919,2430.304022
6,2806.83,18.521,16.523,2438.564355
6,2815.67,27.5231,15.3002,2446.404993
6,2824.3,29.4468,16.484,2454.134755
6,2836.12,39.2131,18.0525,2464.842611
6,2852.2,33.4421,19.2363,2479.63396
6,2862.72,26.9299,19.9479,2489.450803
6,2872.59,28.8003,24.6851,2498.761717
6,2885.08,47.0557,21.1895,2510.683859
6,2900.04,17.9634,26.9595,2525.169029
6,2915.15,17.1725,23.606,2540.026616
6,2927.27,39.4389,21.7416,2552.109165
6,2947.97,37.2894,20.0057,2573.084889
6,2976.17,35.3658,19.2363,2602.350003
6,2986.05,46.8887,20.7622,2612.791286
6,3003.52,27.7006,16.814,2631.492659
