Fault No.,No.,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
1,1,2980,2994,2416,2410,14,6,75,35,82.8
1,2,3082,3108,2406,2398,26,8,100,65,119.3
1,3,3134,3168,2402,2392,34,10,125,85,151.2
1,4,3216,3244,2390,2382,28,8,100,70,122.1
1,5,3310,3334,2378,2374,24,4,50,60,78.1
1,6,3388,3410,2374,2366,22,8,100,55,114.1
1,7,3448,3462,2362,2356,14,6,75,35,82.8
1,8,3522,3536,2352,2348,14,4,50,35,61.0
1,9,3646,3666,2344,2330,20,14,175,50,182.0
1,10,3760,3798,2314,2302,38,12,150,95,177.6
1,11,3772,3818,2314,2300,46,14,175,115,209.4
1,12,3888,3932,2304,2290,44,14,175,110,206.7
1,13,3994,4022,2282,2272,28,10,125,70,143.3
1,14,4188,4218,2250,2240,30,10,125,75,145.8
1,15,4330,4360,2214,2204,30,10,125,75,145.8
1,16,4466,4486,2184,2172,20,12,150,50,158.1
2,1,2858,2866,2448,2444,8,4,50,20,53.9
2,2,2934,2944,2424,2418,10,6,75,25,79.1
2,3,3170,3186,2398,2394,16,4,50,40,64.0
2,4,3236,3252,2394,2386,16,8,100,40,107.7
2,5,3302,3330,2382,2376,28,6,75,70,102.6
2,6,3398,3424,2374,2366,26,8,100,65,119.3
2,7,3460,3478,2364,2356,18,8,100,45,109.7
2,8,3548,3568,2340,2334,20,6,75,50,90.1
2,9,3756,3790,2300,2290,34,10,125,85,151.2
2,10,3778,3802,2296,2288,24,8,100,60,116.6
2,11,3954,3970,2276,2272,16,4,50,40,64.0
2,12,4202,4224,2232,2224,22,8,100,55,114.1
2,13,4368,4382,2222,2214,14,8,100,35,105.9
2,14,4490,4512,2202,2194,22,8,100,55,114.1
2,15,4574,4578,2188,2182,4,6,75,10,75.7
2,16,4664,4674,2182,2178,10,4,50,25,55.9
3,1,3158,3178,2640,2636,20,4,50,50,70.7
3,2,3200,3226,2636,2630,26,6,75,65,99.2
3,3,3250,3272,2632,2626,22,6,75,55,93.0
3,4,3302,3326,2626,2618,24,8,100,60,116.6
3,5,3432,3460,2608,2600,28,8,100,70,122.1
3,6,3576,3608,2592,2578,32,14,175,80,192.4
3,7,3644,3668,2583,2574,24,9,112.5,60,127.5
3,8,3758,3786,2552,2542,28,10,125,70,143.3
3,9,3914,3954,2524,2514,40,10,125,100,160.1
3,10,4030,4062,2506,2498,32,8,100,80,128.1
3,11,4174,4190,2488,2472,16,16,200,40,204.0
3,12,4220,4246,2468,2450,26,18,225,65,234.2
3,13,4488,4508,2444,2438,20,6,75,50,90.1
3,14,4558,4572,2424,2418,14,6,75,35,82.8
3,15,4594,4606,2410,2406,12,4,50,30,58.3
3,16,4750,4760,2356,2350,10,6,75,25,79.1
4,1,3052,3060,2576,2568,8,8,100,20,102.0
4,2,3128,3142,2570,2566,14,4,50,35,61.0
4,3,3148,3166,2524,2520,18,4,50,45,67.3
4,4,3222,3242,2518,2512,20,6,75,50,90.1
4,5,3246,3272,2554,2546,26,8,100,65,119.3
4,6,3298,3316,2506,2500,18,6,75,45,87.5
4,7,3362,3374,2502,2494,12,8,100,30,104.4
4,8,3426,3436,2492,2484,10,8,100,25,103.1
4,9,3468,3480,2526,2522,12,4,50,30,58.3
4,10,3556,3574,2514,2508,18,6,75,45,87.5
4,11,3626,3644,2506,2498,18,8,100,45,109.7
4,12,3870,3892,2468,2464,22,4,50,55,74.3
4,13,3976,4006,2462,2448,30,14,175,75,190.4
4,14,4076,4108,2396,2394,32,2,25,80,83.8
4,15,4182,4214,2382,2372,32,10,125,80,148.4
4,16,4284,4314,2358,2352,30,6,75,75,106.1
5,1,3108,3126,2070,2074,18,4,50,45,67.3
5,2,3148,3162,2076,2078,14,2,25,35,43.0
5,3,3196,3226,2082,2092,30,10,125,75,145.8
5,4,3260,3298,2094,2100,38,6,75,95,121.0
5,5,3342,3366,2106,2108,24,2,25,60,65.0
5,6,3360,3382,2102,2108,22,6,75,55,93.0
5,7,3464,3478,2106,2112,14,6,75,35,82.8
5,8,3592,3610,2130,2142,18,12,150,45,156.6
5,9,3758,3802,2134,2146,44,12,150,110,186.0
5,10,3932,3978,2158,2172,46,14,175,115,209.4
5,11,4290,4324,2206,2216,34,10,125,85,151.2
5,12,4450,4486,2238,2248,36,10,125,90,154.0
5,13,4608,4640,2262,2270,32,8,100,80,128.1
5,14,4672,4708,2272,2282,36,10,125,90,154.0
5,15,4710,4736,2280,2288,26,8,100,65,119.3
5,16,4766,4788,2308,2312,22,4,50,55,74.3
6,1,3028,3036,2536,2530,8,6,75,20,77.6
6,2,3104,3118,2526,2522,14,4,50,35,61.0
6,3,3174,3186,2520,2516,12,4,50,30,58.3
6,4,3274,3284,2510,2504,10,6,75,25,79.1
6,5,3296,3310,2506,2502,14,4,50,35,61.0
6,6,3360,3376,2502,2494,16,8,100,40,107.7
6,7,3426,3452,2492,2482,26,10,125,65,140.9
6,8,3480,3512,2482,2474,32,8,100,80,128.1
6,9,3570,3594,2466,2458,24,8,100,60,116.6
6,10,3614,3636,2462,2454,22,8,100,55,114.1
6,11,3738,3772,2436,2428,34,8,100,85,131.2
6,12,3798,3834,2430,2418,36,12,150,90,174.9
6,13,3874,3906,2468,2464,32,4,50,80,94.3
6,14,4034,4060,2446,2436,26,10,125,65,140.9
6,15,4218,4246,2406,2398,28,8,100,70,122.1
6,16,4384,4406,2386,2372,22,14,175,55,183.4
7,1,3194,3200,2482,2478,6,4,50,15,52.2
7,2,3244,3252,2476,2472,8,4,50,20,53.9
7,3,3262,3286,2472,2468,24,4,50,60,78.1
7,4,3344,3366,2464,2456,22,8,100,55,114.1
7,5,3456,3482,2448,2444,26,4,50,65,82.0
7,6,3510,3530,2440,2434,20,6,75,50,90.1
7,7,3564,3574,2432,2428,10,4,50,25,55.9
7,8,3648,3658,2420,2412,10,8,100,25,103.1
7,9,3756,3778,2414,2406,22,8,100,55,114.1
7,10,3844,3872,2398,2388,28,10,125,70,143.3
7,11,4046,4074,2362,2354,28,8,100,70,122.1
7,12,4146,4180,2342,2330,34,12,150,85,172.4
7,13,4386,4410,2290,2280,24,10,125,60,138.7
7,14,4490,4510,2258,2250,20,8,100,50,111.8
7,15,4572,4592,2242,2232,20,10,125,50,134.6
7,16,4606,4624,2232,2226,18,6,75,45,87.5
8,1,2990,2998,2298,2294,8,4,50,20,53.9
8,2,3018,3048,2294,2286,30,8,100,75,125.0
8,3,3032,3064,2294,2288,32,6,75,80,109.7
8,4,3130,3156,2280,2276,26,4,50,65,82.0
8,5,3146,3172,2280,2274,26,6,75,65,99.2
8,6,3222,3252,2270,2260,30,10,125,75,145.8
8,7,3324,3350,2256,2248,26,8,100,65,119.3
8,8,3478,3502,2238,2232,24,6,75,60,96.0
8,9,3566,3596,2226,2218,30,8,100,75,125.0
8,10,3682,3728,2200,2188,46,12,150,115,189.0
8,11,3706,3752,2196,2188,46,8,100,115,152.4
8,12,3906,3934,2168,2156,28,12,150,70,165.5
8,13,3942,3968,2166,2156,26,10,125,65,140.9
8,14,4158,4184,2138,2132,26,6,75,65,99.2
8,15,4294,4310,2110,2106,16,4,50,40,64.0
8,16,4376,4390,2104,2100,14,4,50,35,61.0
9,1,2882,2890,2578,2574,8,4,50,20,53.9
9,2,2996,3012,2566,2560,16,6,75,40,85.0
9,3,3174,3200,2548,2538,26,10,125,65,140.9
9,4,3252,3290,2538,2532,38,6,75,95,121.0
9,5,3276,3304,2532,2530,28,2,25,70,74.3
9,6,3296,3320,2532,2526,24,6,75,60,96.0
9,7,3376,3400,2522,2514,24,8,100,60,116.6
9,8,3462,3480,2506,2496,18,10,125,45,132.9
9,9,3578,3596,2486,2480,18,6,75,45,87.5
9,10,3740,3766,2460,2448,26,12,150,65,163.5
9,11,3856,3886,2432,2422,30,10,125,75,145.8
9,12,4002,4014,2400,2392,12,8,100,30,104.4
9,13,4240,4280,2342,2332,40,10,125,100,160.1
9,14,4334,4382,2318,2304,48,14,175,120,212.2
9,15,4506,4534,2282,2280,28,2,25,70,74.3
9,16,4672,4690,2270,2266,18,4,50,45,67.3
10,1,3150,3164,2580,2574,14,6,75,35,82.8
10,2,3222,3232,2562,2552,10,10,125,25,127.5
10,3,3270,3306,2556,2552,36,4,50,90,103.0
10,4,3362,3400,2546,2536,38,10,125,95,157.0
10,5,3554,3574,2516,2512,20,4,50,50,70.7
10,6,3620,3644,2510,2500,24,10,125,60,138.7
10,7,3682,3714,2502,2494,32,8,100,80,128.1
10,8,3814,3838,2482,2468,24,14,175,60,185.0
10,9,3902,3916,2462,2458,14,4,50,35,61.0
10,10,3986,4004,2458,2454,18,4,50,45,67.3
10,11,4108,4120,2466,2456,12,10,125,30,128.5
10,12,4190,4210,2458,2450,20,8,100,50,111.8
10,13,4352,4380,2378,2370,28,8,100,70,122.1
10,14,4448,4460,2366,2358,12,8,100,30,104.4
10,15,4502,4514,2360,2356,12,4,50,30,58.3
10,16,4632,4638,2348,2344,6,4,50,15,52.2
11,1,3034,3060,1470,1470,26,0,0,65,65.0
11,2,3102,3132,1472,1474,30,2,25,75,79.1
11,3,3146,3186,1474,1478,40,4,50,100,111.8
11,4,3214,3232,1480,1486,18,6,75,45,87.5
11,5,3256,3284,1486,1492,28,6,75,70,102.6
11,6,3306,3350,1488,1494,44,6,75,110,133.1
11,7,3416,3468,1498,1504,52,6,75,130,150.1
11,8,3568,3602,1510,1532,34,22,275,85,287.8
11,9,3620,3654,1512,1530,34,18,225,85,240.5
11,10,3646,3704,1514,1532,58,18,225,145,267.7
11,11,3734,3782,1530,1544,48,14,175,120,212.2
11,12,3880,3934,1564,1592,54,28,350,135,375.1
11,13,4050,4092,1596,1610,42,14,175,105,204.1
11,14,4264,4292,1632,1642,28,10,125,70,143.3
11,15,4340,4374,1644,1654,34,10,125,85,151.2
11,16,4420,4440,1662,1670,20,8,100,50,111.8
12,1,3036,3048,2540,2534,12,6,75,30,80.8
12,2,3176,3190,2524,2520,14,4,50,35,61.0
12,3,3268,3284,2516,2510,16,6,75,40,85.0
12,4,3386,3412,2504,2496,26,8,100,65,119.3
12,5,3530,3554,2482,2472,24,10,125,60,138.7
12,6,3598,3620,2470,2462,22,8,100,55,114.1
12,7,3706,3726,2466,2438,20,28,350,50,353.6
12,8,3790,3804,2450,2444,14,6,75,35,82.8
12,9,3854,3866,2440,2434,12,6,75,30,80.8
12,10,3914,3944,2434,2424,30,10,125,75,145.8
12,11,3986,4020,2422,2408,34,14,175,85,194.6
12,12,4042,4066,2404,2396,24,8,100,60,116.6
12,13,4106,4126,2394,2386,20,8,100,50,111.8
12,14,4244,4264,2374,2366,20,8,100,50,111.8
12,15,4314,4336,2354,2346,22,8,100,55,114.1
12,16,4366,4374,2354,2346,8,8,100,20,102.0
13,1,2800,2810,2392,2386,10,6,75,25,79.1
13,2,2908,2930,2386,2374,22,12,150,55,159.8
13,3,3068,3100,2362,2358,32,4,50,80,94.3
13,4,3194,3206,2352,2346,12,6,75,30,80.8
13,5,3298,3316,2340,2332,18,8,100,45,109.7
13,6,3366,3378,2336,2316,12,20,250,30,251.8
13,7,3406,3424,2316,2308,18,8,100,45,109.7
13,8,3490,3522,2304,2298,32,6,75,80,109.7
13,9,3498,3534,2302,2296,36,6,75,90,117.2
13,10,3662,3716,2280,2264,54,16,200,135,241.3
13,11,3750,3788,2264,2252,38,12,150,95,177.6
13,12,3848,3876,2248,2242,28,6,75,70,102.6
13,13,3930,3944,2238,2230,14,8,100,35,105.9
13,14,4054,4064,2222,2212,10,10,125,25,127.5
13,15,4184,4192,2194,2188,8,6,75,20,77.6
13,16,4344,4352,2170,2166,8,4,50,20,53.9
14,1,2906,2922,2018,2010,16,8,100,40,107.7
14,2,3034,3056,2004,1998,22,6,75,55,93.0
14,3,3064,3078,1998,1996,14,2,25,35,43.0
14,4,3192,3210,1992,1988,18,4,50,45,67.3
14,5,3222,3242,1988,1982,20,6,75,50,90.1
14,6,3270,3298,1984,1976,28,8,100,70,122.1
14,7,3300,3326,1982,1972,26,10,125,65,140.9
14,8,3356,3374,1972,1966,18,6,75,45,87.5
14,9,3416,3426,1962,1956,10,6,75,25,79.1
14,10,3436,3450,1950,1946,14,4,50,35,61.0
14,11,3518,3533,1988,1984,15,4,50,37.5,62.5
14,12,3565,3577,1982,1972,12,10,125,30,128.5
14,13,3627,3637,1970,1964,10,6,75,25,79.1
14,14,3674,3703,1956,1950,29,6,75,72.5,104.3
14,15,3828,3856,1940,1934,28,6,75,70,102.6
14,16,3950,3974,1922,1918,24,4,50,60,78.1
15,1,2908,2926,1996,1992,18,4,50,45,67.3
15,2,2978,2994,1988,1982,16,6,75,40,85.0
15,3,3016,3024,1986,1980,8,6,75,20,77.6
15,4,3072,3084,1980,1974,12,6,75,30,80.8
15,5,3128,3154,1974,1968,26,6,75,65,99.2
15,6,3152,3184,1972,1964,32,8,100,80,128.1
15,7,3200,3232,1966,1958,32,8,100,80,128.1
15,8,3296,3326,1956,1950,30,6,75,75,106.1
15,9,3332,3360,1954,1946,28,8,100,70,122.1
15,10,3400,3432,1942,1934,32,8,100,80,128.1
15,11,3486,3502,1940,1934,16,6,75,40,85.0
15,12,3496,3528,1930,1922,32,8,100,80,128.1
15,13,3600,3644,1920,1908,44,12,150,110,186.0
15,14,3680,3706,1902,1898,26,4,50,65,82.0
15,15,3758,3778,1894,1890,20,4,50,50,70.7
15,16,3878,3896,1890,1880,18,10,125,45,132.9
16,1,2908,2922,2176,2180,14,4,50,35,61.0
16,2,3010,3022,2188,2192,12,4,50,30,58.3
16,3,3036,3048,2190,2196,12,6,75,30,80.8
16,4,3120,3148,2196,2204,28,8,100,70,122.1
16,5,3166,3196,2198,2206,30,8,100,75,125.0
16,6,3258,3272,2210,2216,14,6,75,35,82.8
16,7,3324,3356,2214,2222,32,8,100,80,128.1
16,8,3442,3480,2230,2236,38,6,75,95,121.0
16,9,3460,3496,2230,2234,36,4,50,90,103.0
16,10,3476,3514,2230,2238,38,8,100,95,137.9
16,11,3572,3596,2244,2248,24,4,50,60,78.1
16,12,3624,3636,2256,2260,12,4,50,30,58.3
16,13,3752,3790,2268,2276,38,8,100,95,137.9
16,14,3866,3892,2276,2284,26,8,100,65,119.3
