Fault No.,No.,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
1,1,2826,2836,1430,1424,10,6,75,25,79.1
1,2,2890,2908,1420,1414,18,6,75,45,87.5
1,3,2957,2980,1414,1406,23,8,100,57.5,115.4
1,4,2997,3005,1406,1400,8,6,75,20,77.6
1,5,3005,3043,1402,1396,38,6,75,95,121.0
1,6,3048,3087,1398,1390,39,8,100,97.5,139.7
1,7,3069,3120,1394,1386,51,8,100,127.5,162.0
1,8,3144,3191,1384,1380,47,4,50,117.5,127.7
1,9,3186,3229,1386,1368,43,18,225,107.5,249.4
1,10,3343,3418,1360,1346,75,14,175,187.5,256.5
1,11,3459,3570,1344,1326,111,18,225,277.5,357.3
1,12,3562,3674,1330,1310,112,20,250,280,375.4
1,13,3652,3763,1332,1298,111,34,425,277.5,507.6
1,14,3741,3840,1308,1286,99,22,275,247.5,370.0
1,15,3839,3937,1298,1260,98,38,475,245,534.5
1,16,3870,3967,1286,1260,97,26,325,242.5,405.5
2,1,3294,3301,2908,2906,7,2,25,17.5,30.5
2,2,3342,3369,2902,2894,27,8,100,67.5,120.6
2,3,3355,3385,2898,2894,30,4,50,75,90.1
2,4,3424,3452,2892,2884,28,8,100,70,122.1
2,5,3518,3533,2888,2874,15,14,175,37.5,179.0
2,6,3539,3550,2882,2874,11,8,100,27.5,103.7
2,7,3616,3645,2868,2858,29,10,125,72.5,144.5
2,8,3651,3687,2864,2856,36,8,100,90,134.5
2,9,3674,3706,2862,2852,32,10,125,80,148.4
2,10,3749,3778,2854,2844,29,10,125,72.5,144.5
2,11,3904,3944,2826,2816,40,10,125,100,160.1
2,12,4056,4108,2808,2796,52,12,150,130,198.5
2,13,4158,4196,2788,2778,38,10,125,95,157.0
2,14,4290,4326,2772,2760,36,12,150,90,174.9
2,15,4418,4446,2748,2742,28,6,75,70,102.6
2,16,4852,4868,2644,2640,16,4,50,40,64.0
3,1,3186,3211,2434,2426,25,8,100,62.5,117.9
3,2,3210,3227,2430,2428,17,2,25,42.5,49.3
3,3,3292,3312,2412,2406,20,6,75,50,90.1
3,4,3330,3364,2402,2392,34,10,125,85,151.2
3,5,3422,3441,2402,2396,19,6,75,47.5,88.8
3,6,3444,3456,2400,2394,12,6,75,30,80.8
3,7,3486,3505,2394,2390,19,4,50,47.5,69.0
3,8,3506,3524,2396,2388,18,8,100,45,109.7
3,9,3594,3626,2402,2388,32,14,175,80,192.4
3,10,3694,3740,2382,2366,46,16,200,115,230.7
3,11,3794,3824,2368,2362,30,6,75,75,106.1
3,12,3886,3916,2358,2350,30,8,100,75,125.0
3,13,4011,4040,2340,2330,29,10,125,72.5,144.5
3,14,4120,4143,2322,2312,23,10,125,57.5,137.6
3,15,4374,4396,2274,2260,22,14,175,55,183.4
3,16,4702,4720,2174,2164,18,10,125,45,132.9
4,1,3274,3294,2774,2768,20,6,75,50,90.1
4,2,3296,3316,2770,2764,20,6,75,50,90.1
4,3,3355,3377,2766,2756,22,10,125,55,136.6
4,4,3493,3520,2752,2740,27,12,150,67.5,164.5
4,5,3547,3576,2746,2736,29,10,125,72.5,144.5
4,6,3624,3656,2738,2726,32,12,150,80,170.0
4,7,3694,3721,2738,2720,27,18,225,67.5,234.9
4,8,3903,3945,2700,2690,42,10,125,105,163.2
4,9,4092,4123,2676,2664,31,12,150,77.5,168.8
4,10,4242,4287,2650,2636,45,14,175,112.5,208.0
4,11,4311,4354,2646,2630,43,16,200,107.5,227.1
4,12,4482,4523,2608,2594,41,14,175,102.5,202.8
4,13,4667,4692,2566,2546,25,20,250,62.5,257.7
4,14,4747,4770,2548,2530,23,18,225,57.5,232.2
4,15,4873,4907,2514,2502,34,12,150,85,172.4
4,16,4928,4947,2490,2482,19,8,100,47.5,110.7
5,1,3214,3226,2774,2768,12,6,75,30,80.8
5,2,3266,3278,2766,2760,12,6,75,30,80.8
5,3,3294,3311,2766,2760,17,6,75,42.5,86.2
5,4,3330,3350,2764,2756,20,8,100,50,111.8
5,5,3517,3544,2738,2730,27,8,100,67.5,120.6
5,6,3623,3649,2724,2716,26,8,100,65,119.3
5,7,3744,3778,2710,2698,34,12,150,85,172.4
5,8,3877,3913,2694,2692,36,2,25,90,93.4
5,9,4092,4122,2674,2658,30,16,200,75,213.6
5,10,4172,4216,2662,2648,44,14,175,110,206.7
5,11,4262,4310,2646,2632,48,14,175,120,212.2
5,12,4370,4420,2628,2614,50,14,175,125,215.1
5,13,4532,4580,2592,2580,48,12,150,120,192.1
5,14,4632,4660,2572,2554,28,18,225,70,235.6
5,15,4706,4734,2558,2544,28,14,175,70,188.5
5,16,4902,4930,2498,2482,28,16,200,70,211.9
6,1,2988,2996,2794,2792,8,2,25,20,32.0
