Xline No.,Hangingwall,Footwall,Throw
8277,3387.8,3390.36,2.56
8278,3391.02,3395,3.98
8279,3393.1,3399.47,6.37
8280,3397.66,3406.67,9.01
8281,3400.35,3411.66,11.31
8282,3403.71,3414.48,10.77
8283,3408.86,3417.15,8.29
8284,3410.61,3422.01,11.4
8285,3415.89,3427.36,11.47
8286,3418.64,3431.87,13.23
8287,3420.69,3435.92,15.23
8288,3415.43,3442.4,26.97
8289,3416.3,3443.64,27.34
8290,3417.82,3446.13,28.31
8291,3418.21,3448.51,30.3
8292,3421.55,3451.19,29.64
8293,3424.8,3455.11,30.31
8294,3431.06,3457.92,26.86
8295,3431.81,3461.85,30.04
8296,3438.8,3466.86,28.06
8297,3442.17,3470.7,28.53
8298,3444.54,3473.4,28.86
8299,3446.76,3475.29,28.53
8300,3447.58,3477.71,30.13
8301,3447.27,3480.37,33.1
8302,3453.62,3484.06,30.44
8303,3455.09,3486.63,31.54
8304,3446.46,3476.33,29.87
8305,3447.17,3477.17,30
8306,3453.15,3478.48,25.33
8307,3455.06,3479.67,24.61
8308,3457.33,3481.23,23.9
8309,3458.88,3482.91,24.03
8310,3460.63,3485.15,24.52
8311,3463.13,3487.99,24.86
8312,3464.25,3490.14,25.89
8313,3465.45,3492.23,26.78
8314,3466.23,3493.4,27.17
8315,3467.54,3494.85,27.31
8316,3469.45,3497.11,27.66
8317,3470.54,3498.56,28.02
8318,3473.18,3499.9,26.72
8319,3476.9,3501.32,24.42
8320,3477.97,3502.25,24.28
8321,3479.51,3504.03,24.52
8322,3481,3505.48,24.48
8323,3483.03,3507.4,24.37
8324,3485.49,3509.13,23.64
8325,3487.65,3510.85,23.2
8326,3489.6,3513.09,23.49
8327,3491.43,3514.88,23.45
8328,3493.24,3516.44,23.2
8329,3494.5,3517.65,23.15
8330,3495.21,3518.52,23.31
8331,3495.64,3517.05,21.41
8332,3497.04,3517.14,20.1
8333,3498.21,3520.42,22.21
8334,3500.11,3521.09,20.98
8335,3499.74,3522.19,22.45
8336,3501.03,3523.9,22.87
8337,3502.12,3525.49,23.37
8338,3503.12,3527.76,24.64
8339,3504.08,3529.29,25.21
8340,3505.37,3530.39,25.02
8341,3508.06,3531,22.94
8342,3510.2,3531.98,21.78
8343,3512.1,3531.92,19.82
8344,3513.57,3532.17,18.6
8345,3514.42,3532.14,17.72
8346,3516.43,3534.78,18.35
8347,3516.2,3536.77,20.57
8348,3517.2,3537.54,20.34
8349,3527.73,3550.83,23.1
8350,3528.42,3551.36,22.94
8351,3529.03,3551.67,22.64
8352,3529.49,3551.74,22.25
8353,3530.17,3552.05,21.88
8354,3530.71,3552.43,21.72
8355,3531.55,3552.97,21.42
8356,3532.7,3553.04,20.34
8357,3532.17,3553.42,21.25
8358,3532.32,3553.65,21.33
8359,3531.63,3554.19,22.56
8360,3531.78,3554.34,22.56
8361,3532.63,3554.73,22.1
8362,3533.01,3554.95,21.94
8363,3533.46,3555.34,21.88
8364,3533.39,3555.57,22.18
8365,3533.31,3555.79,22.48
8366,3533.54,3554.95,21.41
8367,3533.92,3552.84,18.92
8368,3533.77,3551.99,18.22
8369,3532.93,3550.9,17.97
8370,3532.55,3551.44,18.89
8371,3533.01,3551.89,18.88
8372,3533.31,3551.67,18.36
8373,3533.08,3551.44,18.36
8374,3533.54,3551.74,18.2
8375,3533.46,3551.59,18.13
8376,3532.55,3551.36,18.81
8377,3531.48,3550.98,19.5
8378,3531.32,3550.36,19.04
8379,3531.25,3549.07,17.82
8380,3531.09,3547.61,16.52
8381,3530.87,3546.16,15.29
8382,3530.48,3545.63,15.15
8383,3530.55,3545.5,14.95
8384,3530.98,3544.99,14.01
8385,3530.39,3544.05,13.66
8386,3530.2,3542.61,12.41
8387,3529.84,3542.45,12.61
8388,3529.88,3542.45,12.57
8389,3530.2,3542.76,12.56
8390,3530.23,3542.8,12.57
8391,3530.31,3543.04,12.73
8392,3530.74,3542.76,12.02
8393,3531.21,3542.72,11.51
8394,3531.76,3542.92,11.16
8395,3532.11,3542.88,10.77
8396,3533.33,3543.04,9.71
8397,3533.6,3542.96,9.36
8398,3534.27,3543.06,8.79
8399,3534.89,3542.96,8.07
8400,3535.72,3542.72,7
8401,3536.85,3542.41,5.56
8402,3537.32,3542.32,5
8403,3537.96,3542.41,4.45
8404,3538.35,3541.83,3.48
8405,3537.91,3540.99,3.08
8406,3539.18,3540.95,1.77
8407,3539.35,3541.18,1.83
8408,3543.74,3557.59,13.85
8409,3545.5,3559.42,13.92
8410,3548.61,3563.72,15.11
8411,3550.51,3564.45,13.94
8412,3552.03,3564.88,12.85
8413,3553.19,3565.18,11.99
8414,3553.13,3565.55,12.42
8415,3553.62,3566.2,12.58
8416,3553.86,3566.9,13.04
8417,3553.86,3567.2,13.34
8418,3553.8,3567.27,13.47
8419,3553.66,3566.88,13.22
8420,3553.43,3565.33,11.9
8421,3553.07,3565.57,12.5
8422,3552.8,3565.68,12.88
8423,3552.84,3565.88,13.04
8424,3553.19,3566.19,13
8425,3553.97,3565.72,11.75
8426,3553.63,3566.28,12.65
8427,3555,3566.2,11.2
8428,3554.85,3566.36,11.51
8429,3554.65,3569,14.35
8430,3554.97,3569.78,14.81
8431,3554.87,3569.88,15.01
8432,3555.06,3569.78,14.72
8433,3555.16,3569.49,14.33
8434,3555.44,3569.49,14.05
8435,3555.54,3569.4,13.86
8436,3555.25,3569.3,14.05
8437,3554.3,3568.92,14.62
8438,3553.82,3568.59,14.77
8439,3554.11,3568.16,14.05
8440,3554.49,3568.24,13.75
8441,3555.16,3569.26,14.1
8442,3556.88,3568.83,11.95
8443,3557.2,3569.18,11.98
8444,3557.32,3569.02,11.7
8445,3558.06,3568.63,10.57
8446,3558.66,3568.3,9.64
8447,3559.21,3567.71,8.5
8448,3559.17,3567.71,8.54
8449,3559.96,3568.73,8.77
8450,3560.03,3578.53,18.5
8451,3559.44,3578.33,18.89
8452,3559.04,3577.99,18.95
8453,3559.05,3577.55,18.5
8454,3559.1,3577.75,18.65
8455,3559.88,3578.33,18.45
8456,3559.64,3577.31,17.67
8457,3558.76,3577.11,18.35
8458,3558.8,3576.23,17.43
8459,3556.98,3575.25,18.27
8460,3556.21,3574.8,18.59
8461,3556.52,3574.57,18.05
8462,3556.74,3574.41,17.67
8463,3555.29,3574.64,19.35
8464,3554.91,3575.1,20.19
8465,3555.22,3575.41,20.19
8466,3555.6,3575.18,19.58
8467,3555.29,3576.17,20.88
8468,3554.45,3575.33,20.88
8469,3554.15,3574.8,20.65
8470,3554.61,3575.87,21.26
8471,3554.15,3575.87,21.72
8472,3554.61,3575.59,20.98
8473,3555.37,3575.33,19.96
8474,3554.38,3575.1,20.72
8475,3553.61,3574.95,21.34
8476,3553.38,3575.02,21.64
8477,3553.46,3574.42,20.96
8478,3553.61,3574.64,21.03
8479,3553.69,3574.34,20.65
8480,3554.23,3574.34,20.11
8481,3553.46,3574.03,20.57
8482,3552.69,3573.72,21.03
8483,3552.69,3573.63,20.94
8484,3552.62,3573.27,20.65
8485,3553,3573.27,20.27
8486,3552.24,3573.27,21.03
8487,3552.01,3573.65,21.64
8488,3551.93,3573.04,21.11
8489,3551.55,3572.73,21.18
8490,3552.16,3572.58,20.42
8491,3552.08,3572.66,20.58
8492,3551.88,3572.88,21
8493,3551.14,3572.78,21.64
8494,3550.9,3572.97,22.07
8495,3550.8,3572.88,22.08
8496,3550.61,3572.93,22.32
8497,3549.82,3572.93,23.11
8498,3549.73,3572.93,23.2
8499,3550.02,3572.63,22.61
8500,3550.7,3572.44,21.74
8501,3550.72,3572.29,21.57
8502,3551.29,3571.38,20.09
8503,3550.9,3570.77,19.87
8504,3550.9,3570.58,19.68
8505,3550.7,3569.99,19.29
8506,3551,3568.52,17.52
