Distance (km),CDP HW,CDP FW,Heave (CDP Diff),Heave (m),Z (ms) HW,Z (ms) FW,Throw (Z Diff),Throw (m),Displacement (m),,,
0.000,1263,1280,17,212.5,3516,3596,80,200.0,227.1,,,
0.125,1264,1285,21,262.5,3508,3592,84,210.0,275.6,,,
0.250,1266,1280,14,175.0,3512,3596,84,210.0,194.1,,,
0.375,1269,1284,15,187.5,3512,3590,78,195.0,203.1,,,
0.500,1270,1288,18,225.0,3526,3606,80,200.0,238.8,,,
0.625,1272,1296,24,300.0,3514,3622,108,270.0,318.8,,,
0.750,1273,1289,16,200.0,3516,3600,84,210.0,216.9,,,
0.875,1274,1294,20,250.0,3510,3602,92,230.0,266.4,,,
1.000,1280,1305,25,312.5,3518,3616,98,245.0,327.5,,,
1.125,1283,1301,18,225.0,3524,3622,98,245.0,245.4,,,
1.250,1287,1306,19,237.5,3528,3620,92,230.0,254.7,,,
1.375,1292,1309,17,212.5,3504,3612,108,270.0,238.4,,,
1.500,1293,1312,19,237.5,3518,3618,100,250.0,257.7,,,
1.625,1295,1312,17,212.5,3536,3624,88,220.0,230.0,,,
1.750,1301,1320,19,237.5,3508,3612,104,260.0,259.3,,,
1.875,1303,1322,19,237.5,3506,3601,95,237.5,255.8,,,
2.000,1310,1329,19,237.5,3434,3550,116,290.0,264.3,,,
2.125,1311,1335,24,300.0,3418,3578,160,400.0,340.0,,,
2.250,1311,1329,18,225.0,3436,3574,138,345.0,263.9,,,
2.375,1313,1327,14,175.0,3503,3582,79,197.5,192.0,,,
2.500,1314,1346,32,400.0,3474,3638,164,410.0,432.3,,,
2.625,1315,1349,34,425.0,3470,3628,158,395.0,453.4,,,
2.750,1317,1336,19,237.5,3416,3598,182,455.0,299.2,,,
2.875,1317,1350,33,412.5,3440,3594,154,385.0,440.3,,,
3.000,1318,1350,32,400.0,3412,3614,202,505.0,448.1,,,
3.125,1321,1350,29,362.5,3422,3612,190,475.0,409.3,,,
3.250,1322,1342,20,250.0,3408,3602,194,485.0,316.4,,,
3.375,1324,1346,22,275.0,3406,3600,194,485.0,336.5,,,
3.500,1325,1352,27,337.5,3496,3630,134,335.0,363.1,,,
3.625,1325,1365,40,500.0,3454,3654,200,500.0,538.5,,,
3.750,1326,1347,21,262.5,3412,3590,178,445.0,317.2,,,
3.875,1326,1346,20,250.0,3482,3622,140,350.0,286.5,,,
4.000,1326,1348,22,275.0,3478,3630,152,380.0,314.2,,,
4.125,1328,1357,29,362.5,3492,3638,146,365.0,390.8,,,
4.250,1329,1355,26,325.0,3472,3632,160,400.0,362.2,,,
4.375,1329,1358,29,362.5,3474,3640,166,415.0,398.7,,,
4.500,1332,1366,34,425.0,3472,3648,176,440.0,460.0,,,
4.625,1333,1353,20,250.0,3416,3592,176,440.0,305.7,,,
4.750,1333,1350,17,212.5,3412,3586,174,435.0,274.6,,,
4.875,1334,1365,31,387.5,3462,3630,168,420.0,422.4,,,
5.000,1336,1366,30,375.0,3454,3652,198,495.0,424.1,,,
5.125,1337,1360,23,287.5,3468,3646,178,445.0,338.1,,,
5.250,1337,1370,33,412.5,3494,3656,162,405.0,443.2,,,
5.375,1337,1367,30,375.0,3494,3628,134,335.0,398.2,,,
5.500,1338,1364,26,325.0,3468,3646,178,445.0,370.6,,,
5.625,1338,1364,26,325.0,3464,3654,190,475.0,376.5,,,
5.750,1338,1371,33,412.5,3462,3654,192,480.0,455.0,,,
5.875,1339,1367,28,350.0,3496,3630,134,335.0,374.8,,,
