ILN,Length (km),No,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
5740,0.0,1,3026,3052,1246,1252,26,6,75,65.0,99.2
5740,0.0,2,3080,3114,1248,1256,34,8,100,85.0,131.2
5740,0.0,3,3134,3144,1256,1260,10,4,50,25.0,55.9
5740,0.0,4,3186,3214,1260,1264,28,4,50,70.0,86.0
5740,0.0,5,3234,3278,1270,1280,44,10,125,110.0,166.5
5740,0.0,6,3320,3370,1282,1294,50,12,150,125.0,195.3
5740,0.0,7,3506,3584,1316,1330,78,14,175,195.0,262.0
5740,0.0,8,3828,3948,1362,1396,120,34,425,300.0,520.2
5740,0.0,9,4032,4144,1378,1404,112,26,325,280.0,429.0
5740,0.0,10,4408,4494,1692,1704,86,12,150,215.0,262.2
5740,0.0,11,4628,4720,1446,1504,92,58,725,230.0,760.6
5700,0.5,1,3018,3036,1222,1230,18,8,100,45.0,109.7
5700,0.5,2,3174,3192,1238,1246,18,8,100,45.0,109.7
5700,0.5,3,3198,3220,1240,1250,22,10,125,55.0,136.6
5700,0.5,4,3252,3302,1252,1264,50,12,150,125.0,195.3
5700,0.5,5,3434,3484,1282,1298,50,16,200,125.0,235.8
5700,0.5,6,3476,3536,1288,1302,60,14,175,150.0,230.5
5700,0.5,7,3514,3584,1294,1310,70,16,200,175.0,265.8
5700,0.5,8,3632,3704,1308,1330,72,22,275,180.0,328.7
5700,0.5,9,3914,4044,1364,1404,130,40,500,325.0,596.3
5700,0.5,10,4384,4490,1408,1432,106,24,300,265.0,400.3
5700,0.5,11,4604,4714,1448,1496,110,48,600,275.0,660.0
5660,1.0,1,2864,2892,1192,1200,28,8,100,70.0,122.1
5660,1.0,2,2926,2954,1198,1212,28,14,175,70.0,188.5
5660,1.0,3,3052,3100,1218,1228,48,10,125,120.0,173.3
5660,1.0,4,3136,3180,1224,1236,44,12,150,110.0,186.0
5660,1.0,5,3242,3302,1236,1252,60,16,200,150.0,250.0
5660,1.0,6,3318,3382,1248,1266,64,18,225,160.0,276.1
5660,1.0,7,3434,3526,1262,1288,92,26,325,230.0,398.2
5660,1.0,8,3830,4018,1346,1382,188,36,450,470.0,650.7
5660,1.0,9,3978,4144,1344,1392,166,48,600,415.0,729.5
5660,1.0,10,4494,4630,1412,1464,136,52,650,340.0,733.6
5660,1.0,11,4696,4814,1476,1544,118,68,850,295.0,899.7
5620,1.5,1,3066,3080,1208,1214,14,6,75,35.0,82.8
5620,1.5,2,3118,3130,1206,1208,12,2,25,30.0,39.1
5620,1.5,3,3200,3226,1216,1228,26,12,150,65.0,163.5
5620,1.5,4,3250,3292,1226,1238,42,12,150,105.0,183.1
5620,1.5,5,3324,3372,1236,1252,48,16,200,120.0,233.2
5620,1.5,6,3442,3494,1246,1270,52,24,300,130.0,327.0
5620,1.5,7,3528,3592,1270,1288,64,18,225,160.0,276.1
5620,1.5,8,3884,4070,1388,1388,186,0,0,465.0,465.0
5620,1.5,9,3922,4122,1340,1388,200,48,600,500.0,781.0
5620,1.5,10,4100,4262,1376,1408,162,32,400,405.0,569.2
5620,1.5,11,4202,4356,1380,1418,154,38,475,385.0,611.4
5580,2,1,3006,3032,1198,1202,26,4,50,65.0,82.0
5580,2,2,3082,3104,1202,1210,22,8,100,55.0,114.1
5580,2,3,3102,3134,1206,1214,32,8,100,80.0,128.1
5580,2,4,3172,3206,1208,1222,34,14,175,85.0,194.6
5580,2,5,3256,3302,1222,1232,46,10,125,115.0,169.9
5580,2,6,3514,3622,1338,1364,108,26,325,270.0,422.5
5580,2,7,3624,3782,1346,1384,158,38,475,395.0,617.8
5580,2,8,3810,4024,1356,1406,214,50,625,535.0,822.7
5580,2,9,3926,4128,1368,1410,202,42,525,505.0,728.5
5580,2,10,4150,4352,1398,1430,202,32,400,505.0,644.2
5580,2,11,4414,4578,1418,1472,164,54,675,410.0,789.8
5540,2.5,1,2974,3018,1282,1290,44,8,100,110.0,148.7
5540,2.5,2,3054,3090,1286,1294,36,8,100,90.0,134.5
5540,2.5,3,3164,3208,1300,1304,44,4,50,110.0,120.8
5540,2.5,4,3218,3276,1304,1314,58,10,125,145.0,191.4
5540,2.5,5,3380,3464,1332,1348,84,16,200,210.0,290.0
5540,2.5,6,3506,3598,1348,1368,92,20,250,230.0,339.7
5540,2.5,7,3736,3878,1360,1394,142,34,425,355.0,553.8
5540,2.5,8,3916,4142,1364,1424,226,60,750,565.0,939.0
5540,2.5,9,4118,4318,1390,1420,200,30,375,500.0,625.0
5540,2.5,10,4250,4436,1406,1438,186,32,400,465.0,613.4
5540,2.5,11,4410,4574,1418,1470,164,52,650,410.0,768.5
5500,3.0,1,2962,3002,1290,1298,40,8,100,100.0,141.4
5500,3.0,2,3046,3106,1294,1304,60,10,125,150.0,195.3
5500,3.0,3,3168,3250,1308,1326,82,18,225,205.0,304.4
5500,3.0,4,3354,3442,1330,1352,88,22,275,220.0,352.2
5500,3.0,5,3450,3574,1356,1380,124,24,300,310.0,431.4
5500,3.0,6,3728,3896,1360,1388,168,28,350,420.0,546.7
5500,3.0,7,3850,4040,1364,1392,190,28,350,475.0,590.0
5500,3.0,8,3998,4226,1386,1472,228,86,1075,570.0,1216.8
5500,3.0,9,4176,4446,1396,1480,270,84,1050,675.0,1248.2
5500,3.0,10,4258,4458,1404,1514,200,110,1375,500.0,1463.1
5500,3.0,11,4414,4606,1430,1546,192,116,1450,480.0,1527.4
5460,3.5,1,2568,2584,1294,1300,16,6,75,40.0,85.0
5460,3.5,2,2600,2620,1298,1300,20,2,25,50.0,55.9
5460,3.5,3,2718,2746,1308,1312,28,4,50,70.0,86.0
5460,3.5,4,2732,2760,1308,1312,28,4,50,70.0,86.0
5460,3.5,5,2986,3036,1338,1346,50,8,100,125.0,160.1
5460,3.5,6,3262,3351,1354,1382,89,28,350,222.5,414.7
5460,3.5,7,3478,3644,1394,1426,166,32,400,415.0,576.4
5460,3.5,8,3880,4138,1364,1484,258,120,1500,645.0,1632.8
5460,3.5,9,4034,4246,1384,1510,212,126,1575,530.0,1661.8
5460,3.5,10,4338,4532,1414,1554,194,140,1750,485.0,1816.0
5460,3.5,11,4402,4600,1414,1560,198,146,1825,495.0,1890.9
5420,4.0,1,3128,3149,1352,1360,21,8,100,52.5,112.9
5420,4.0,2,3206,3274,1360,1372,68,12,150,170.0,226.7
5420,4.0,3,3330,3401,1368,1380,71,12,150,177.5,232.4
5420,4.0,4,3500,3607,1390,1406,107,16,200,267.5,334.0
5420,4.0,5,3698,3854,1418,1440,156,22,275,390.0,477.2
5420,4.0,6,3850,4066,1432,1474,216,42,525,540.0,753.1
5420,4.0,7,4070,4332,1452,1500,262,48,600,655.0,888.3
5420,4.0,8,4256,4538,1464,1564,282,100,1250,705.0,1435.1
5420,4.0,9,4356,4566,1498,1574,210,76,950,525.0,1085.4
5420,4.0,10,4448,4648,1510,1590,200,80,1000,500.0,1118.0
5420,4.0,11,4672,4870,1590,1672,198,82,1025,495.0,1138.3
5380,4.5,1,3256,3378,1364,1378,122,14,175,305.0,351.6
5380,4.5,2,3384,3532,1396,1406,148,10,125,370.0,390.5
5380,4.5,3,3542,3688,1410,1432,146,22,275,365.0,457.0
5380,4.5,4,3812,4022,1436,1472,210,36,450,525.0,691.5
5380,4.5,5,3966,4266,1456,1506,300,50,625,750.0,976.3
5380,4.5,6,4070,4312,1456,1500,242,44,550,605.0,817.6
5380,4.5,7,4392,4586,1506,1570,194,64,800,485.0,935.5
5380,4.5,8,4448,4644,1532,1586,196,54,675,490.0,834.1
5380,4.5,9,4512,4670,1542,1580,158,38,475,395.0,617.8
5380,4.5,10,4652,4772,1588,1650,120,62,775,300.0,831.0
5380,4.5,11,4734,4844,1620,1682,110,62,775,275.0,822.3
5340,5.0,1,3216,3280,1356,1362,64,6,75,160.0,176.7
5340,5.0,2,3430,3550,1382,1402,120,20,250,300.0,390.5
5340,5.0,3,3478,3652,1390,1416,174,26,325,435.0,543.0
5340,5.0,4,3692,3920,1424,1464,228,40,500,570.0,758.2
5340,5.0,5,3760,3992,1428,1454,232,26,325,580.0,664.8
