Inline No.,Hangingwall,Footwall,Throw,,,,,,,,
8208,3225.7,3230.39,4.69,,,,,,,,
8209,3225.82,3234.06,8.24,,,,,,,,
8210,3225.82,3237.76,11.94,,,,,,,,
8211,3223.19,3237.29,14.1,,,,,,,,
8212,3222.71,3240.87,18.16,,,,,,,,
8213,3216.02,3240.28,24.26,,,,,,,,
8214,3210.76,3241.59,30.83,,,,,,,,
8215,3210.17,3243.14,32.97,,,,,,,,
8216,3210.17,3245.77,35.6,,,,,,,,
8217,3210.88,3246.25,35.37,,,,,,,,
8218,3209.81,3249.47,39.66,,,,,,,,
8219,3209.23,3249.99,40.76,,,,,,,,
8220,3209,3250.3,41.3,,,,,,,,
8221,3208.24,3249.84,41.6,,,,,,,,
8222,3208.31,3249.15,40.84,,,,,,,,
8223,3207.93,3248.92,40.99,,,,,,,,
8224,3207.95,3248.87,40.92,,,,,,,,
8225,3208.72,3248.71,39.99,,,,,,,,
8226,3208.79,3249.1,40.31,,,,,,,,
8227,3210.3,3247.95,37.65,,,,,,,,
8228,3211.09,3248.62,37.53,,,,,,,,
8229,3212.31,3248.2,35.89,,,,,,,,
8230,3216.08,3248.66,32.58,,,,,,,,
8231,3218.38,3249.2,30.82,,,,,,,,
8232,3222.2,3249.65,27.45,,,,,,,,
8233,3224.32,3249.13,24.81,,,,,,,,
8234,3226.24,3248.88,22.64,,,,,,,,
8235,3227.95,3249.28,21.33,,,,,,,,
8236,3228.91,3250.08,21.17,,,,,,,,
8237,3229.94,3251.5,21.56,,,,,,,,
8238,3232.16,3253.16,21,,,,,,,,
8239,3230.99,3251.98,20.99,,,,,,,,
8240,3235.93,3255.16,19.23,,,,,,,,
8241,3236.61,3255.26,18.65,,,,,,,,
8242,3238.13,3256.08,17.95,,,,,,,,
8243,3238.88,3256.08,17.2,,,,,,,,
8244,3241.05,3256.64,15.59,,,,,,,,
8245,3242.27,3256.21,13.94,,,,,,,,
8246,3243.52,3257.22,13.7,,,,,,,,
8247,3244.58,3258.12,13.54,,,,,,,,
8248,3244.5,3258.4,13.9,,,,,,,,
8249,3244.85,3257.93,13.08,,,,,,,,
8250,3246.46,3258.44,11.98,,,,,,,,
8251,3248.53,3257.58,9.05,,,,,,,,
8252,3248.45,3257.39,8.94,,,,,,,,
8253,3250.07,3257.33,7.26,,,,,,,,
8254,3250.64,3255.93,5.29,,,,,,,,
8255,3251.02,3254.81,3.79,,,,,,,,
8256,3251.5,3254.01,2.51,,,,,,,,
8257,3251.97,3253.9,1.93,,,,,,,,
8258,3252.02,3253.02,1,,,,,,,,
8259,3252.02,3252.65,0.63,,,,,,,,
8260,3251,3251.6,0.6,,,,,,,,
8261,3251.04,3251.3,0.26,,,,,,,,
