Xline No.,Hangingwall,Footwall,Throw,,,,,,,,
4553,2941.29,2942.92,1.63,,,,,,,,
4554,2941.01,2943.11,2.1,,,,,,,,
4555,2940.71,2943.23,2.52,,,,,,,,
4556,2940.85,2943.86,3.01,,,,,,,,
4557,2940.5,2943.4,2.9,,,,,,,,
4558,2940.15,2943.75,3.6,,,,,,,,
4559,2939.56,2945.08,5.52,,,,,,,,
4560,2939.68,2948.02,8.34,,,,,,,,
4561,2939.54,2948.71,9.17,,,,,,,,
4562,2938.27,2949.01,10.74,,,,,,,,
4563,2937.42,2948.77,11.35,,,,,,,,
4564,2936.05,2948.81,12.76,,,,,,,,
4565,2934.8,2947.96,13.16,,,,,,,,
4566,2934.6,2948.17,13.57,,,,,,,,
4567,2933.5,2947.6,14.1,,,,,,,,
4568,2932.84,2947.56,14.72,,,,,,,,
4569,2931.47,2947.54,16.07,,,,,,,,
4570,2930.8,2947.09,16.29,,,,,,,,
4571,2930.55,2946.82,16.27,,,,,,,,
4572,2930.42,2947.06,16.64,,,,,,,,
4573,2929.09,2946.32,17.23,,,,,,,,
4574,2928.94,2945.66,16.72,,,,,,,,
4575,2928.43,2945.66,17.23,,,,,,,,
4576,2927.11,2944.82,17.71,,,,,,,,
4577,2925.36,2944.06,18.7,,,,,,,,
4578,2924.24,2943.88,19.64,,,,,,,,
4579,2924.81,2942.47,17.66,,,,,,,,
4580,2923.5,2941.31,17.81,,,,,,,,
4581,2922.1,2940.7,18.6,,,,,,,,
4582,2920.5,2939.28,18.78,,,,,,,,
4583,2919.56,2938.55,18.99,,,,,,,,
4584,2918.38,2938.43,20.05,,,,,,,,
4585,2916.75,2938.92,22.17,,,,,,,,
4586,2916.36,2939.07,22.71,,,,,,,,
4587,2916,2939.07,23.07,,,,,,,,
4588,2916.9,2939.12,22.22,,,,,,,,
4589,2916.74,2938.13,21.39,,,,,,,,
4590,2916.89,2937.99,21.1,,,,,,,,
4591,2915.33,2938.13,22.8,,,,,,,,
4592,2914.74,2937.4,22.66,,,,,,,,
4593,2915.28,2937.1,21.82,,,,,,,,
4594,2914.35,2937.4,23.05,,,,,,,,
4595,2913.23,2937.26,24.03,,,,,,,,
4596,2911.9,2936.23,24.33,,,,,,,,
4597,2912.93,2935.79,22.86,,,,,,,,
4598,2911.27,2935.4,24.13,,,,,,,,
4599,2911.19,2934.99,23.8,,,,,,,,
4600,2911.36,2934.5,23.14,,,,,,,,
4601,2910.12,2934.5,24.38,,,,,,,,
4602,2910.69,2935.29,24.6,,,,,,,,
4603,2911.14,2935.5,24.36,,,,,,,,
4604,2910.69,2934.6,23.91,,,,,,,,
4605,2910.02,2933.91,23.89,,,,,,,,
4606,2909.64,2933.43,23.79,,,,,,,,
4607,2908.97,2932.49,23.52,,,,,,,,
4608,2908.4,2931.97,23.57,,,,,,,,
4609,2908.59,2932.01,23.42,,,,,,,,
4610,2907.35,2933.33,25.98,,,,,,,,
4611,2907.16,2932.2,25.04,,,,,,,,
4612,2906.23,2932.57,26.34,,,,,,,,
4613,2905.91,2931.15,25.24,,,,,,,,
4614,2905.55,2929.71,24.16,,,,,,,,
4615,2904.67,2929.84,25.17,,,,,,,,
4616,2905.15,2930.77,25.62,,,,,,,,
4617,2905.03,2930.96,25.93,,,,,,,,
4618,2904.09,2930.96,26.87,,,,,,,,
4619,2903.43,2929.71,26.28,,,,,,,,
4620,2902.76,2927.98,25.22,,,,,,,,
4621,2902.85,2927.81,24.96,,,,,,,,
4622,2902.85,2927.81,24.96,,,,,,,,
4623,2903.14,2927.81,24.67,,,,,,,,
4624,2904,2928.57,24.57,,,,,,,,
4625,2905.19,2928.66,23.47,,,,,,,,
4626,2906.29,2929.24,22.95,,,,,,,,
4627,2908.21,2929.43,21.22,,,,,,,,
4628,2908.4,2929.33,20.93,,,,,,,,
4629,2907.82,2929.24,21.42,,,,,,,,
4630,2908.97,2928,19.03,,,,,,,,
4631,2909.32,2928.28,18.96,,,,,,,,
4632,2909.74,2929.24,19.5,,,,,,,,
4633,2910.45,2928.66,18.21,,,,,,,,
4634,2910.59,2928,17.41,,,,,,,,
4635,2910.64,2927.13,16.49,,,,,,,,
4636,2910.59,2925.51,14.92,,,,,,,,
4637,2910.12,2923.22,13.1,,,,,,,,
4638,2912.98,2920.15,7.17,,,,,,,,
4639,2913.89,2918.1,4.21,,,,,,,,
4640,2914.57,2917.36,2.79,,,,,,,,
4641,2915.41,2916.53,1.12,,,,,,,,
