Fault No.,No.,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
1,1,3094,3106,2318,2314,12,4,50,30,58.3
1,2,3138,3150,2316,2314,12,2,25,30,39.1
1,3,3156,3170,2314,2312,14,2,25,35,43.0
1,4,3212,3230,2308,2306,18,2,25,45,51.5
1,5,3306,3332,2296,2290,26,6,75,65,99.2
1,6,3360,3372,2292,2284,12,8,100,30,104.4
1,7,3390,3402,2290,2284,12,6,75,30,80.8
1,8,3434,3442,2284,2280,8,4,50,20,53.9
1,9,3504,3516,2272,2268,12,4,50,30,58.3
1,10,3530,3546,2272,2270,16,2,25,40,47.2
2,1,2990,2996,2376,2372,6,4,50,15,52.2
2,2,3016,3028,2374,2368,12,6,75,30,80.8
2,3,3058,3070,2368,2366,12,2,25,30,39.1
2,4,3138,3158,2360,2356,20,4,50,50,70.7
2,5,3206,3240,2354,2344,34,10,125,85,151.2
2,6,3228,3258,2354,2344,30,10,125,75,145.8
2,7,3316,3344,2340,2330,28,10,125,70,143.3
2,8,3376,3396,2332,2322,20,10,125,50,134.6
2,9,3512,3526,2296,2290,14,6,75,35,82.8
2,10,3583,3602,2278,2272,19,6,75,47.5,88.8
3,1,3176,3186,2478,2472,10,6,75,25,79.1
3,2,3218,3230,2484,2478,12,6,75,30,80.8
3,3,3266,3282,2474,2470,16,4,50,40,64.0
3,4,3316,3330,2470,2466,14,4,50,35,61.0
3,5,3368,3388,2462,2456,20,6,75,50,90.1
3,6,3408,3430,2456,2450,22,6,75,55,93.0
3,7,3474,3486,2448,2442,12,6,75,30,80.8
3,8,3512,3522,2440,2436,10,4,50,25,55.9
3,9,3564,3570,2434,2430,6,4,50,15,52.2
3,10,3586,3592,2434,2430,6,4,50,15,52.2
4,1,3180,3184,2484,2480,4,4,50,10,51.0
4,2,3202,3212,2482,2478,10,4,50,25,55.9
4,3,3260,3276,2476,2472,16,4,50,40,64.0
4,4,3300,3316,2470,2468,16,2,25,40,47.2
4,5,3372,3390,2462,2458,18,4,50,45,67.3
4,6,3428,3452,2458,2450,24,8,100,60,116.6
4,7,3476,3486,2448,2440,10,8,100,25,103.1
4,8,3508,3520,2442,2436,12,6,75,30,80.8
4,9,3544,3551,2438,2432,7,6,75,17.5,77.0
4,10,3601,3608,2434,2430,7,4,50,17.5,53.0
5,1,2984,2996,2198,2190,12,8,100,30,104.4
5,2,3140,3150,2166,2162,10,4,50,25,55.9
5,3,3274,3292,2148,2142,18,6,75,45,87.5
5,4,3314,3336,2144,2134,22,10,125,55,136.6
5,5,3344,3378,2140,2130,34,10,125,85,151.2
5,6,3390,3414,2128,2120,24,8,100,60,116.6
5,7,3442,3462,2118,2116,20,2,25,50,55.9
5,8,3488,3492,2114,2110,4,4,50,10,51.0
5,9,3540,3552,2114,2108,12,6,75,30,80.8
5,10,3623,3631,2098,2094,8,4,50,20,53.9
6,1,3016,3026,2308,2300,10,8,100,25,103.1
6,2,3060,3074,2306,2300,14,6,75,35,82.8
6,3,3122,3144,2292,2286,22,6,75,55,93.0
6,4,3206,3228,2284,2276,22,8,100,55,114.1
6,5,3284,3304,2276,2272,20,4,50,50,70.7
6,6,3326,3350,2274,2264,24,10,125,60,138.7
6,7,3396,3418,2264,2258,22,6,75,55,93.0
6,8,3438,3456,2256,2248,18,8,100,45,109.7
6,9,3522,3538,2240,2236,16,4,50,40,64.0
6,10,3572,3590,2236,2232,18,4,50,45,67.3
7,1,3044,3054,2162,2154,10,8,100,25,103.1
7,2,3072,3082,2160,2154,10,6,75,25,79.1
7,3,3120,3140,2146,2140,20,6,75,50,90.1
7,4,3178,3212,2140,2130,34,10,125,85,151.2
7,5,3260,3286,2126,2118,26,8,100,65,119.3
7,6,3306,3326,2120,2112,20,8,100,50,111.8
7,7,3330,3348,2106,2098,18,8,100,45,109.7
