Fault No.,No.,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
1,1,3026,3036,3196,3190,10,6,75,25,79.1
1,2,3081,3091,3186,3178,10,8,100,25,103.1
1,3,3111,3127,3182,3174,16,8,100,40,107.7
1,4,3140,3159,3182,3172,19,10,125,47.5,133.7
1,5,3163,3168,3178,3172,5,6,75,12.5,76.0
1,6,3260,3263,3162,3160,3,2,25,7.5,26.1
1,7,3347,3362,3146,3142,15,4,50,37.5,62.5
1,8,3487,3504,3122,3114,17,8,100,42.5,108.7
1,9,3529,3543,3116,3108,14,8,100,35,105.9
1,10,3602,3619,3106,3098,17,8,100,42.5,108.7
2,1,2860,2874,1492,1482,14,10,125,35,129.8
2,2,2917,2926,1482,1476,9,6,75,22.5,78.3
2,3,2953,2958,1480,1476,5,4,50,12.5,51.5
2,4,3044,3060,1470,1464,16,6,75,40,85.0
2,5,3065,3077,1468,1464,12,4,50,30,58.3
2,6,3091,3122,1464,1456,31,8,100,77.5,126.5
2,7,3147,3159,1452,1444,12,8,100,30,104.4
2,8,3161,3179,1456,1444,18,12,150,45,156.6
2,9,3246,3263,1450,1440,17,10,125,42.5,132.0
2,10,3330,3337,1442,1434,7,8,100,17.5,101.5
3,1,2807,2813,1408,1404,6,4,50,15,52.2
3,2,2884,2888,1396,1390,4,6,75,10,75.7
3,3,2905,2925,1392,1384,20,8,100,50,111.8
3,4,2920,2937,1394,1386,17,8,100,42.5,108.7
3,5,2965,2967,1384,1380,2,4,50,5,50.2
3,6,3055,3064,1358,1352,9,6,75,22.5,78.3
3,7,3068,3074,1324,1316,6,8,100,15,101.1
3,8,3124,3128,1308,1302,4,6,75,10,75.7
3,9,3201,3205,1300,1296,4,4,50,10,51.0
3,10,3205,3209,1298,1294,4,4,50,10,51.0
4,1,2759,2771,1802,1796,12,6,75,30,80.8
4,2,2834,2847,1804,1796,13,8,100,32.5,105.1
4,3,2870,2882,1798,1794,12,4,50,30,58.3
4,4,2961,2988,1790,1780,27,10,125,67.5,142.1
4,5,3003,3039,1790,1776,36,14,175,90,196.8
4,6,3027,3062,1784,1776,35,8,100,87.5,132.9
4,7,3050,3078,1780,1772,28,8,100,70,122.1
4,8,3129,3155,1772,1766,26,6,75,65,99.2
4,9,3178,3210,1768,1756,32,12,150,80,170.0
4,10,3352,3365,1744,1736,13,8,100,32.5,105.1
5,1,2875,2882,1640,1634,7,6,75,17.5,77.0
5,2,2903,2916,1638,1634,13,4,50,32.5,59.6
5,3,2921,2932,1636,1632,11,4,50,27.5,57.1
5,4,2960,2975,1634,1628,15,6,75,37.5,83.9
5,5,3040,3046,1622,1618,6,4,50,15,52.2
5,6,3058,3056,1618,1614,-2,4,50,-5,50.2
5,7,3162,3167,1602,1598,5,4,50,12.5,51.5
5,8,3272,3289,1584,1576,17,8,100,42.5,108.7
5,9,3330,3337,1572,1568,7,4,50,17.5,53.0
5,10,3417,3418,1564,1560,1,4,50,2.5,50.1
6,1,2806,2815,1320,1316,9,4,50,22.5,54.8
6,2,2850,2855,1310,1308,5,2,25,12.5,28.0
6,3,2884,2896,1298,1294,12,4,50,30,58.3
6,4,2909,2917,1296,1290,8,6,75,20,77.6
6,5,2941,2955,1290,1286,14,4,50,35,61.0
6,6,3007,3006,1290,1286,1,4,50,2.5,50.1
6,7,3024,3037,1284,1272,13,12,150,32.5,153.5
6,8,3074,3091,1274,1264,17,10,125,42.5,132.0
6,9,3112,3126,1268,1258,14,10,125,35,129.8
6,10,3234,3257,1242,1236,23,6,75,57.5,94.5
7,1,2832,2847,1920,1912,15,8,100,37.5,106.8
7,2,2889,2900,1920,1910,11,10,125,27.5,128.0
7,3,2903,2931,1918,1906,28,12,150,70,165.5
7,4,2919,2943,1914,1906,24,8,100,60,116.6
7,5,3047,3076,1896,1892,29,4,50,72.5,88.1
7,6,3081,3091,1894,1890,10,4,50,25,55.9
7,7,3129,3153,1888,1880,24,8,100,60,116.6
7,8,3243,3254,1874,1866,11,8,100,27.5,103.7
7,9,3305,3316,1862,1858,11,4,50,27.5,57.1
7,10,3412,3414,1854,1846,2,8,100,5,100.1
8,1,2957,2962,2124,2120,5,4,50,12.5,51.5
8,2,2984,2993,2126,2120,9,6,75,22.5,78.3
8,3,3000,3010,2126,2120,10,6,75,25,79.1
8,4,3241,3249,2090,2086,8,4,50,20,53.9
8,5,3297,3308,2082,2074,11,8,100,27.5,103.7
8,6,3340,3345,2080,2072,5,8,100,12.5,100.8
8,7,3358,3363,2068,2062,5,6,75,12.5,76.0
