Fault No.,No.,Z (ms) HW,Z (ms) FW,CDP HW,CDP FW,Z (ms) Diff,CDP Diff,Heave (m),Throw (m),Displacement (m)
1,1,3010,3014,2848,2842,4,6,75,10,75.7
1,2,3098,3108,2842,2838,10,4,50,25,55.9
1,3,3244,3264,2832,2828,20,4,50,50,70.7
1,4,3290,3308,2830,2822,18,8,100,45,109.7
1,5,3424,3454,2814,2808,30,6,75,75,106.1
1,6,3544,3576,2796,2792,32,4,50,80,94.3
1,7,3760,3784,2764,2758,24,6,75,60,96.0
1,8,3794,3810,2756,2752,16,4,50,40,64.0
1,9,3842,3864,2756,2753,22,3,37.5,55,66.6
1,10,3916,3928,2750,2748,12,2,25,30,39.1
2,1,3002,3008,2924,2918,6,6,75,15,76.5
2,2,3036,3042,2918,2916,6,2,25,15,29.2
2,3,3062,3068,2914,2914,6,0,0,15,15.0
2,4,3102,3118,2910,2910,16,0,0,40,40.0
2,5,3277,3298,2896,2888,21,8,100,52.5,112.9
2,6,3357,3383,2890,2880,26,10,125,65,140.9
2,7,3407,3436,2880,2872,29,8,100,72.5,123.5
2,8,3456,3478,2872,2864,22,8,100,55,114.1
2,9,3536,3555,2860,2854,19,6,75,47.5,88.8
2,10,3605,3616,2850,2848,11,2,25,27.5,37.2
3,1,3202,3214,3570,3566,12,4,50,30,58.3
3,2,3230,3250,3568,3562,20,6,75,50,90.1
3,3,3318,3334,3560,3556,16,4,50,40,64.0
3,4,3336,3360,3558,3554,24,4,50,60,78.1
3,5,3386,3414,3558,3546,28,12,150,70,165.5
3,6,3544,3576,3534,3518,32,16,200,80,215.4
3,7,3614,3640,3528,3518,26,10,125,65,140.9
3,8,3674,3696,3516,3510,22,6,75,55,93.0
3,9,3740,3762,3508,3502,22,6,75,55,93.0
3,10,3784,3802,3496,3488,18,8,100,45,109.7
4,1,3258,3270,2932,2926,12,6,75,30,80.8
4,2,3272,3298,2930,2924,26,6,75,65,99.2
4,3,3348,3382,2922,2912,34,10,125,85,151.2
4,4,3410,3441,2946,2940,31,6,75,77.5,107.8
4,5,3450,3480,2942,2932,30,10,125,75,145.8
4,6,3497,3526,2928,2924,29,4,50,72.5,88.1
4,7,3521,3546,2926,2920,25,6,75,62.5,97.6
4,8,3568,3583,2920,2918,15,2,25,37.5,45.1
4,9,3598,3608,2914,2910,10,4,50,25,55.9
4,10,3704,3710,2904,2902,6,2,25,15,29.2
5,1,2974,2982,2846,2842,8,4,50,20,53.9
5,2,3126,3138,2836,2832,12,4,50,30,58.3
5,3,3302,3330,2818,2812,28,6,75,70,102.6
5,4,3366,3398,2808,2800,32,8,100,80,128.1
5,5,3448,3478,2800,2794,30,6,75,75,106.1
5,6,3490,3514,2798,2790,24,8,100,60,116.6
5,7,3514,3538,2798,2788,24,10,125,60,138.7
5,8,3568,3584,2796,2784,16,12,150,40,155.2
5,9,3682,3696,2782,2773,14,9,112.5,35,117.8
5,10,3790,3802,2798,2792,12,6,75,30,80.8
6,1,3158,3168,2864,2860,10,4,50,25,55.9
6,2,3174,3178,2862,2858,4,4,50,10,51.0
6,3,3198,3208,2862,2858,10,4,50,25,55.9
6,4,3250,3276,2858,2850,26,8,100,65,119.3
6,5,3312,3334,2848,2842,22,6,75,55,93.0
6,6,3380,3422,2840,2832,42,8,100,105,145.0
6,7,3530,3566,2826,2816,36,10,125,90,154.0
6,8,3562,3596,2820,2814,34,6,75,85,113.4
6,9,3676,3702,2810,2802,26,8,100,65,119.3
6,10,3766,3784,2798,2792,18,6,75,45,87.5
7,1,3226,3236,2850,2846,10,4,50,25,55.9
7,2,3282,3294,2846,2844,12,2,25,30,39.1
7,3,3379,3407,2838,2832,28,6,75,70,102.6
7,4,3434,3459,2850,2844,25,6,75,62.5,97.6
7,5,3472,3490,2844,2842,18,2,25,45,51.5
7,6,3494,3504,2844,2838,10,6,75,25,79.1
7,7,3543,3551,2836,2832,8,4,50,20,53.9
7,8,3570,3578,2832,2828,8,4,50,20,53.9
7,9,3626,3634,2826,2820,8,6,75,20,77.6
7,10,3670,3680,2822,2818,10,4,50,25,55.9
8,1,3008,3014,2854,2848,6,6,75,15,76.5
8,2,3050,3058,2850,2848,8,2,25,20,32.0
8,3,3130,3140,2844,2840,10,4,50,25,55.9
8,4,3250,3272,2836,2832,22,4,50,55,74.3
8,5,3324,3350,2832,2826,26,6,75,65,99.2
8,6,3384,3410,2824,2816,26,8,100,65,119.3
8,7,3502,3530,2808,2802,28,6,75,70,102.6
8,8,3570,3590,2802,2794,20,8,100,50,111.8
8,9,3614,3634,2796,2790,20,6,75,50,90.1
8,10,3646,3660,2792,2784,14,8,100,35,105.9
9,1,3080,3092,3012,3006,12,6,75,30,80.8
9,2,3132,3144,3006,3002,12,4,50,30,58.3
9,3,3216,3234,2998,2996,18,2,25,45,51.5
9,4,3270,3290,2994,2990,20,4,50,50,70.7
9,5,3306,3334,2992,2982,28,10,125,70,143.3
9,6,3374,3402,2984,2976,28,8,100,70,122.1
9,7,3440,3480,2974,2966,40,8,100,100,141.4
9,8,3530,3550,2964,2958,20,6,75,50,90.1
9,9,3608,3624,2956,2948,16,8,100,40,107.7
9,10,3704,3714,2946,2938,10,8,100,25,103.1
10,1,3088,3100,3066,3058,12,8,100,30,104.4
10,2,3116,3130,3064,3056,14,8,100,35,105.9
10,3,3148,3166,3064,3054,18,10,125,45,132.9
10,4,3172,3190,3062,3054,18,8,100,45,109.7
10,5,3298,3320,3052,3044,22,8,100,55,114.1
10,6,3344,3368,3046,3038,24,8,100,60,116.6
10,7,3422,3442,3030,3026,20,4,50,50,70.7
10,8,3532,3544,3014,3012,12,2,25,30,39.1
10,9,3614,3628,3004,3000,14,4,50,35,61.0
10,10,3750,3760,2990,2984,10,6,75,25,79.1
11,1,3234,3248,3158,3156,14,2,25,35,43.0
11,2,3264,3278,3158,3154,14,4,50,35,61.0
11,3,3410,3432,3148,3144,22,4,50,55,74.3
11,4,3474,3504,3140,3136,30,4,50,75,90.1
11,5,3536,3564,3134,3123,28,11,137.5,70,154.3
11,6,3590,3614,3126,3120,24,6,75,60,96.0
11,7,3670,3696,3112,3106,26,6,75,65,99.2
11,8,3746,3766,3100,3098,20,2,25,50,55.9
11,9,3826,3844,3090,3082,18,8,100,45,109.7
11,10,3862,3876,3084,3076,14,8,100,35,105.9
12,1,2958,2970,2916,2910,12,6,75,30,80.8
12,2,2986,2998,2912,2906,12,6,75,30,80.8
12,3,3048,3062,2906,2902,14,4,50,35,61.0
12,4,3170,3190,2890,2886,20,4,50,50,70.7
12,5,3220,3252,2888,2882,32,6,75,80,109.7
12,6,3294,3322,2884,2878,28,6,75,70,102.6
12,7,3414,3448,2866,2858,34,8,100,85,131.2
12,8,3626,3646,2852,2846,20,6,75,50,90.1
12,9,3716,3740,2842,2836,24,6,75,60,96.0
12,10,3918,3930,2870,2866,12,4,50,30,58.3
13,1,3210,3214,2834,2830,4,4,50,10,51.0
13,2,3261,3279,2824,2820,18,4,50,45,67.3
13,3,3345,3371,2816,2812,26,4,50,65,82.0
13,4,3417,3442,2810,2806,25,4,50,62.5,80.0
13,5,3468,3482,2808,2800,14,8,100,35,105.9
13,6,3545,3562,2842,2834,17,8,100,42.5,108.7
13,7,3638,3656,2828,2824,18,4,50,45,67.3
13,8,3738,3768,2822,2814,30,8,100,75,125.0
13,9,3852,3868,2810,2804,16,6,75,40,85.0
13,10,3930,3936,2802,2794,6,8,100,15,101.1
14,1,3118,3130,2874,2870,12,4,50,30,58.3
14,2,3240,3260,2864,2858,20,6,75,50,90.1
14,3,3288,3330,2858,2852,42,6,75,105,129.0
14,4,3368,3398,2848,2840,30,8,100,75,125.0
14,5,3438,3466,2840,2834,28,6,75,70,102.6
14,6,3478,3494,2838,2832,16,6,75,40,85.0
14,7,3542,3556,2830,2824,14,6,75,35,82.8
14,8,3568,3580,2828,2822,12,6,75,30,80.8
14,9,3648,3660,2814,2812,12,2,25,30,39.1
14,10,3698,3706,2816,2810,8,6,75,20,77.6
15,1,2994,3005,2776,2770,11,6,75,27.5,79.9
15,2,3075,3084,2770,2764,9,6,75,22.5,78.3
15,3,3200,3230,2758,2752,30,6,75,75,106.1
15,4,3267,3291,2754,2744,24,10,125,60,138.7
15,5,3342,3372,2744,2734,30,10,125,75,145.8
