Dataset,Lost Fault,Large Fault,Total Length
BF1 H2,50.0,4.5455,1.0204
BF2 H2,50.0,6.6667,4.3478
BF3 H2,20.0,7.1429,1.7241
BF4 H2,50.0,2.8571,0.9174
F22C1,7.6923,7.6923,7.6923
F22C10,50.0,14.2857,5.2632
F22C2,16.6667,11.1111,4.3478
F22C3,50.0,12.5,2.9412
F22C4,50.0,11.1111,2.1739
F22C5,50.0,14.2857,2.7027
F22C6,50.0,14.2857,3.125
F22C7,50.0,14.2857,2.6316
F22C8,50.0,11.1111,1.8519
F22C9,50.0,9.0909,2.439
F9 1,7.1429,7.1429,7.1429
F9 2,25.0,16.6667,5.0
F9 3,14.2857,12.5,3.3333
F9 4,50.0,9.0909,2.9412
F9 5,50.0,12.5,3.0303
F9 6,50.0,5.2632,1.4085
F9 7,50.0,14.2857,2.8571
F9 8,50.0,6.25,2.1277
F9 9,50.0,11.1111,1.9231
F9 10,50.0,7.1429,1.3889
F9 11,50.0,12.5,1.9608
F9 12,50.0,6.25,1.2658
F9 13,50.0,12.5,2.2222
F9 14,50.0,4.1667,1.2987
F9 15,50.0,7.6923,1.3699
F9 16,50.0,7.6923,1.6949
F9 17,50.0,9.0909,1.7544
F9 18,50.0,4.5455,1.2346
F9 19,50.0,10.0,2.0833
F9 20,50.0,4.1667,0.9901
F9 21,50.0,5.2632,1.1494
F9 22,50.0,7.1429,1.8182
F9 23,50.0,4.3478,1.3699
F9 24,50.0,9.0909,1.7544
F9 25,4.3478,4.3478,4.3478
Keystone all 1,9.0909,9.0909,9.0909
Keystone all 2,25.0,25.0,25.0
Keystone all 3,20.0,20.0,20.0
Keystone all 4,25.0,12.5,8.3333
Keystone all 5,20.0,20.0,20.0
Keystone all 6,8.3333,8.3333,8.3333
Keystone all 7,20.0,20.0,20.0
Keystone all 8,9.0909,9.0909,9.0909
Keystone all 9,9.0909,9.0909,9.0909
Keystone all 10,9.0909,9.0909,9.0909
KeystoneF6 1,50.0,14.2857,2.8571
KeystoneF6 2,50.0,4.3478,1.7241
KeystoneF6 3,50.0,11.1111,1.6667
KeystoneF6 4,50.0,12.5,3.7037
KeystoneF6 5,50.0,5.5556,1.3158
KeystoneF6 6,50.0,4.3478,1.2987
KeystoneF6 7,50.0,10.0,1.9231
KeystoneF6 8,50.0,3.2258,1.087
KeystoneF6 9,50.0,5.8824,1.2987
KeystoneF6 10,50.0,4.3478,1.0
KeystoneF6 11,50.0,10.0,2.0
KeystoneF6 12,50.0,4.0,1.0309
KeystoneF6 13,50.0,3.7037,1.3158
KeystoneF6 14,50.0,6.25,1.4706
KeystoneF6 15,50.0,6.6667,1.2658
KeystoneF6 16,50.0,8.3333,1.3889
KeystoneF6 17,50.0,7.6923,1.2195
KeystoneF6 18,50.0,5.8824,1.4085
KeystoneF6 19,14.2857,4.7619,1.2048
KeystoneF6 20,50.0,3.5714,0.9709
KeystoneF6 21,50.0,5.2632,1.4085
KeystoneF6 22,50.0,7.1429,1.4706
KeystoneF6 23,50.0,5.5556,1.2195
KeystoneF6 24,50.0,7.6923,1.4706
KeystoneF6 25,50.0,7.1429,1.5385
KeystoneF6 26,50.0,11.1111,2.3256
KeystoneF6 27,50.0,14.2857,2.2727
KeystoneF6 28,8.3333,8.3333,8.3333
L2 H4-1,16.6667,1.4925,0.7634
Linked Key&Poly Central 1,33.3333,10.0,4.1667
Linked Key&Poly Central 2,5.5556,5.5556,5.5556
Linked Key&Poly Central 3,20.0,14.2857,5.2632
Linked Key&Poly Central 4,5.5556,5.5556,5.5556
Linked Key&Poly Central 5,33.3333,10.0,5.2632
Linked Key&Poly Central 6,50.0,5.5556,5.0
Linked Key&Poly Central 7,25.0,14.2857,4.7619
Linked Key&Poly Central 8,33.3333,12.5,4.7619
Linked Key&Poly Central 9,25.0,14.2857,4.7619
Linked Key&Poly Central 10,25.0,12.5,4.1667
Linked Key&Poly Central 11,16.6667,9.0909,5.8824
Linked Key&Poly Central 12,5.8824,5.8824,5.8824
Linked Key&Poly Central 13,5.5556,5.5556,5.5556
Linked Key&Poly Central 14,25.0,14.2857,4.7619
Linked Key&Poly Central 15,25.0,12.5,4.3478
Linked Key&Poly Central 16,33.3333,14.2857,4.1667
Linked Key&Poly Central 17,16.6667,7.6923,5.2632
Linked Key&Poly Central 18,20.0,16.6667,4.3478
Linked Key&Poly Central 19,50.0,11.1111,3.8462
Linked Key&Poly Central 20,5.5556,5.5556,5.5556
Linked Key&Poly Central 21,50.0,11.1111,4.3478
Linked Key&Poly Central 22,33.3333,11.1111,4.7619
