,Dataset,Error,Per Large Fault Error,Per Lost Fault Error,Total Length Error
0,BF1 H2.csv,"(5.0, inf, 1.2195121951219512)",5.0,inf,1.2195121951219512
1,BF2 H2.csv,"(7.6923076923076925, inf, 5.882352941176471)",7.6923076923076925,inf,5.882352941176471
2,BF3 H2.csv,"(8.333333333333334, 33.333333333333336, 2.1739130434782608)",8.333333333333334,33.333333333333336,2.1739130434782608
3,BF4 H2.csv,"(3.0303030303030303, inf, 1.075268817204301)",3.0303030303030303,inf,1.075268817204301
4,F22C1.csv,"(9.090909090909092, 9.090909090909092, 9.090909090909092)",9.090909090909092,9.090909090909092,9.090909090909092
5,F22C10.csv,"(20.0, inf, 9.090909090909092)",20.0,inf,9.090909090909092
6,F22C2.csv,"(14.285714285714286, 25.0, 5.882352941176471)",14.285714285714286,25.0,5.882352941176471
7,F22C3.csv,"(16.666666666666668, inf, 4.545454545454546)",16.666666666666668,inf,4.545454545454546
8,F22C4.csv,"(14.285714285714286, inf, 3.125)",14.285714285714286,inf,3.125
9,F22C5.csv,"(20.0, inf, 4.3478260869565215)",20.0,inf,4.3478260869565215
10,F22C6.csv,"(20.0, inf, 5.0)",20.0,inf,5.0
11,F22C7.csv,"(20.0, inf, 4.166666666666667)",20.0,inf,4.166666666666667
12,F22C8.csv,"(14.285714285714286, inf, 2.9411764705882355)",14.285714285714286,inf,2.9411764705882355
13,F22C9.csv,"(11.11111111111111, inf, 3.225806451612903)",11.11111111111111,inf,3.225806451612903
14,F9.csv 1,"(8.333333333333334, 8.333333333333334, 8.333333333333334)",8.333333333333334,8.333333333333334,8.333333333333334
15,F9.csv 2,"(25.0, 50.0, 8.333333333333334)",25.0,50.0,8.333333333333334
16,F9.csv 3,"(16.666666666666668, 20.0, 4.545454545454546)",16.666666666666668,20.0,4.545454545454546
17,F9.csv 4,"(11.11111111111111, inf, 4.545454545454546)",11.11111111111111,inf,4.545454545454546
18,F9.csv 5,"(16.666666666666668, inf, 4.761904761904762)",16.666666666666668,inf,4.761904761904762
19,F9.csv 6,"(5.882352941176471, inf, 1.7543859649122806)",5.882352941176471,inf,1.7543859649122806
20,F9.csv 7,"(20.0, inf, 4.761904761904762)",20.0,inf,4.761904761904762
21,F9.csv 8,"(7.142857142857143, inf, 2.857142857142857)",7.142857142857143,inf,2.857142857142857
22,F9.csv 9,"(14.285714285714286, inf, 2.7777777777777777)",14.285714285714286,inf,2.7777777777777777
23,F9.csv 10,"(8.333333333333334, inf, 1.8518518518518519)",8.333333333333334,inf,1.8518518518518519
24,F9.csv 11,"(16.666666666666668, inf, 3.0303030303030303)",16.666666666666668,inf,3.0303030303030303
25,F9.csv 12,"(7.142857142857143, inf, 1.5873015873015872)",7.142857142857143,inf,1.5873015873015872
26,F9.csv 13,"(16.666666666666668, inf, 3.7037037037037037)",16.666666666666668,inf,3.7037037037037037
27,F9.csv 14,"(4.545454545454546, inf, 1.5873015873015872)",4.545454545454546,inf,1.5873015873015872
28,F9.csv 15,"(9.090909090909092, inf, 1.8181818181818181)",9.090909090909092,inf,1.8181818181818181
29,F9.csv 16,"(9.090909090909092, inf, 2.2222222222222223)",9.090909090909092,inf,2.2222222222222223
30,F9.csv 17,"(11.11111111111111, inf, 2.4390243902439024)",11.11111111111111,inf,2.4390243902439024
31,F9.csv 18,"(5.0, inf, 1.5384615384615385)",5.0,inf,1.5384615384615385
32,F9.csv 19,"(12.5, inf, 3.125)",12.5,inf,3.125
33,F9.csv 20,"(4.545454545454546, inf, 1.2048192771084338)",4.545454545454546,inf,1.2048192771084338
34,F9.csv 21,"(5.882352941176471, inf, 1.36986301369863)",5.882352941176471,inf,1.36986301369863
35,F9.csv 22,"(8.333333333333334, inf, 2.5641025641025643)",8.333333333333334,inf,2.5641025641025643
36,F9.csv 23,"(4.761904761904762, inf, 1.694915254237288)",4.761904761904762,inf,1.694915254237288
37,F9.csv 24,"(11.11111111111111, inf, 2.3255813953488373)",11.11111111111111,inf,2.3255813953488373
38,F9.csv 25,"(4.761904761904762, 4.761904761904762, 4.761904761904762)",4.761904761904762,4.761904761904762,4.761904761904762
39,Keystone all.csv 1,"(11.11111111111111, 11.11111111111111, 11.11111111111111)",11.11111111111111,11.11111111111111,11.11111111111111
40,Keystone all.csv 2,"(50.0, 50.0, 50.0)",50.0,50.0,50.0
41,Keystone all.csv 3,"(33.333333333333336, 33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336,33.333333333333336
42,Keystone all.csv 4,"(16.666666666666668, 50.0, 12.5)",16.666666666666668,50.0,12.5
43,Keystone all.csv 5,"(33.333333333333336, 33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336,33.333333333333336
44,Keystone all.csv 6,"(10.0, 10.0, 10.0)",10.0,10.0,10.0
45,Keystone all.csv 7,"(33.333333333333336, 33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336,33.333333333333336
46,Keystone all.csv 8,"(11.11111111111111, 11.11111111111111, 11.11111111111111)",11.11111111111111,11.11111111111111,11.11111111111111
47,Keystone all.csv 9,"(11.11111111111111, 11.11111111111111, 11.11111111111111)",11.11111111111111,11.11111111111111,11.11111111111111
48,Keystone all.csv 10,"(11.11111111111111, 11.11111111111111, 11.11111111111111)",11.11111111111111,11.11111111111111,11.11111111111111
