,Dataset,Error,Per Fault Error,Total Length Error
0,BF1 H2.csv,"(9.090909090909092, 4.0)",9.090909090909092,4.0
1,BF2 H2.csv,"(5.0, 3.0303030303030303)",5.0,3.0303030303030303
2,BF3 H2.csv,"(16.666666666666668, 5.882352941176471)",16.666666666666668,5.882352941176471
3,BF4 H2.csv,"(5.2631578947368425, 2.0408163265306123)",5.2631578947368425,2.0408163265306123
4,F22C1.csv,"(14.285714285714286, 10.0)",14.285714285714286,10.0
5,F22C10.csv,"(33.333333333333336, 11.11111111111111)",33.333333333333336,11.11111111111111
6,F22C2.csv,"(33.333333333333336, 11.11111111111111)",33.333333333333336,11.11111111111111
7,F22C3.csv,"(25.0, 7.142857142857143)",25.0,7.142857142857143
8,F22C4.csv,"(20.0, 5.555555555555555)",20.0,5.555555555555555
9,F22C5.csv,"(9.090909090909092, 2.857142857142857)",9.090909090909092,2.857142857142857
10,F22C6.csv,"(20.0, 7.6923076923076925)",20.0,7.6923076923076925
11,F22C7.csv,"(25.0, 9.090909090909092)",25.0,9.090909090909092
12,F22C8.csv,"(7.6923076923076925, 2.7777777777777777)",7.6923076923076925,2.7777777777777777
13,F22C9.csv,"(33.333333333333336, 8.333333333333334)",33.333333333333336,8.333333333333334
14,F9.csv 1,"(25.0, 11.11111111111111)",25.0,11.11111111111111
15,F9.csv 2,"(25.0, 10.0)",25.0,10.0
16,F9.csv 3,"(14.285714285714286, 6.25)",14.285714285714286,6.25
17,F9.csv 4,"(11.11111111111111, 4.545454545454546)",11.11111111111111,4.545454545454546
18,F9.csv 5,"(10.0, 3.225806451612903)",10.0,3.225806451612903
19,F9.csv 6,"(20.0, 5.2631578947368425)",20.0,5.2631578947368425
20,F9.csv 7,"(16.666666666666668, 8.333333333333334)",16.666666666666668,8.333333333333334
21,F9.csv 8,"(16.666666666666668, 10.0)",16.666666666666668,10.0
22,F9.csv 9,"(14.285714285714286, 5.2631578947368425)",14.285714285714286,5.2631578947368425
23,F9.csv 10,"(14.285714285714286, 3.5714285714285716)",14.285714285714286,3.5714285714285716
24,F9.csv 11,"(14.285714285714286, 5.2631578947368425)",14.285714285714286,5.2631578947368425
25,F9.csv 12,"(10.0, 3.4482758620689653)",10.0,3.4482758620689653
26,F9.csv 13,"(6.25, 2.380952380952381)",6.25,2.380952380952381
27,F9.csv 14,"(7.6923076923076925, 2.2222222222222223)",7.6923076923076925,2.2222222222222223
28,F9.csv 15,"(9.090909090909092, 2.857142857142857)",9.090909090909092,2.857142857142857
29,F9.csv 16,"(5.555555555555555, 2.7777777777777777)",5.555555555555555,2.7777777777777777
30,F9.csv 17,"(14.285714285714286, 4.545454545454546)",14.285714285714286,4.545454545454546
31,F9.csv 18,"(20.0, 10.0)",20.0,10.0
32,F9.csv 19,"(9.090909090909092, 4.545454545454546)",9.090909090909092,4.545454545454546
33,F9.csv 20,"(11.11111111111111, 3.5714285714285716)",11.11111111111111,3.5714285714285716
34,F9.csv 21,"(2.3255813953488373, 1.5873015873015872)",2.3255813953488373,1.5873015873015872
35,F9.csv 22,"(9.090909090909092, 2.857142857142857)",9.090909090909092,2.857142857142857
36,F9.csv 23,"(5.2631578947368425, 1.7241379310344827)",5.2631578947368425,1.7241379310344827
37,F9.csv 24,"(25.0, 5.555555555555555)",25.0,5.555555555555555
38,F9.csv 25,"(14.285714285714286, 11.11111111111111)",14.285714285714286,11.11111111111111
39,Keystone all.csv 1,"(11.11111111111111, 11.11111111111111)",11.11111111111111,11.11111111111111
40,Keystone all.csv 2,"(25.0, 12.5)",25.0,12.5
41,Keystone all.csv 3,"(33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336
42,Keystone all.csv 4,"(33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336
43,Keystone all.csv 5,"(33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336
44,Keystone all.csv 6,"(33.333333333333336, 10.0)",33.333333333333336,10.0
45,Keystone all.csv 7,"(33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336
46,Keystone all.csv 8,"(11.11111111111111, 11.11111111111111)",11.11111111111111,11.11111111111111
47,Keystone all.csv 9,"(11.11111111111111, 11.11111111111111)",11.11111111111111,11.11111111111111
48,Keystone all.csv 10,"(33.333333333333336, 33.333333333333336)",33.333333333333336,33.333333333333336
49,KeystoneF6.csv 1,"(12.5, 4.761904761904762)",12.5,4.761904761904762
50,KeystoneF6.csv 2,"(8.333333333333334, 1.9607843137254901)",8.333333333333334,1.9607843137254901
51,KeystoneF6.csv 3,"(25.0, 6.666666666666667)",25.0,6.666666666666667
52,KeystoneF6.csv 4,"(25.0, 6.666666666666667)",25.0,6.666666666666667
53,KeystoneF6.csv 5,"(4.3478260869565215, 1.3888888888888888)",4.3478260869565215,1.3888888888888888
54,KeystoneF6.csv 6,"(16.666666666666668, 4.3478260869565215)",16.666666666666668,4.3478260869565215
55,KeystoneF6.csv 7,"(20.0, 8.333333333333334)",20.0,8.333333333333334
56,KeystoneF6.csv 8,"(20.0, 7.142857142857143)",20.0,7.142857142857143
57,KeystoneF6.csv 9,"(25.0, 7.6923076923076925)",25.0,7.6923076923076925
58,KeystoneF6.csv 10,"(11.11111111111111, 4.545454545454546)",11.11111111111111,4.545454545454546
59,KeystoneF6.csv 11,"(20.0, 6.25)",20.0,6.25
60,KeystoneF6.csv 12,"(14.285714285714286, 6.666666666666667)",14.285714285714286,6.666666666666667
61,KeystoneF6.csv 13,"(25.0, 8.333333333333334)",25.0,8.333333333333334
62,KeystoneF6.csv 14,"(20.0, 6.666666666666667)",20.0,6.666666666666667
63,KeystoneF6.csv 15,"(2.3255813953488373, 1.0638297872340425)",2.3255813953488373,1.0638297872340425
64,KeystoneF6.csv 16,"(33.333333333333336, 11.11111111111111)",33.333333333333336,11.11111111111111
65,KeystoneF6.csv 17,"(7.6923076923076925, 3.125)",7.6923076923076925,3.125
66,KeystoneF6.csv 18,"(14.285714285714286, 4.0)",14.285714285714286,4.0
67,KeystoneF6.csv 19,"(6.666666666666667, 2.380952380952381)",6.666666666666667,2.380952380952381
68,KeystoneF6.csv 20,"(20.0, 10.0)",20.0,10.0
69,KeystoneF6.csv 21,"(20.0, 5.555555555555555)",20.0,5.555555555555555
70,KeystoneF6.csv 22,"(25.0, 7.142857142857143)",25.0,7.142857142857143
71,KeystoneF6.csv 23,"(11.11111111111111, 4.166666666666667)",11.11111111111111,4.166666666666667
72,KeystoneF6.csv 24,"(16.666666666666668, 6.666666666666667)",16.666666666666668,6.666666666666667
73,KeystoneF6.csv 25,"(7.6923076923076925, 2.0)",7.6923076923076925,2.0
74,KeystoneF6.csv 26,"(25.0, 7.6923076923076925)",25.0,7.6923076923076925
75,KeystoneF6.csv 27,"(25.0, 6.666666666666667)",25.0,6.666666666666667
76,KeystoneF6.csv 28,"(16.666666666666668, 10.0)",16.666666666666668,10.0
77,L2 H4-1.csv,"(2.1739130434782608, 1.0309278350515463)",2.1739130434782608,1.0309278350515463
78,Linked Key&Poly Central.csv 1,"(16.666666666666668, 6.666666666666667)",16.666666666666668,6.666666666666667
79,Linked Key&Poly Central.csv 2,"(50.0, 10.0)",50.0,10.0
80,Linked Key&Poly Central.csv 3,"(25.0, 10.0)",25.0,10.0
81,Linked Key&Poly Central.csv 4,"(16.666666666666668, 7.6923076923076925)",16.666666666666668,7.6923076923076925
82,Linked Key&Poly Central.csv 5,"(12.5, 6.666666666666667)",12.5,6.666666666666667
83,Linked Key&Poly Central.csv 6,"(20.0, 6.666666666666667)",20.0,6.666666666666667
84,Linked Key&Poly Central.csv 7,"(20.0, 7.6923076923076925)",20.0,7.6923076923076925
85,Linked Key&Poly Central.csv 8,"(33.333333333333336, 11.11111111111111)",33.333333333333336,11.11111111111111
86,Linked Key&Poly Central.csv 9,"(33.333333333333336, 11.11111111111111)",33.333333333333336,11.11111111111111
87,Linked Key&Poly Central.csv 10,"(25.0, 6.666666666666667)",25.0,6.666666666666667
88,Linked Key&Poly Central.csv 11,"(20.0, 6.666666666666667)",20.0,6.666666666666667
89,Linked Key&Poly Central.csv 12,"(11.11111111111111, 6.666666666666667)",11.11111111111111,6.666666666666667
90,Linked Key&Poly Central.csv 13,"(20.0, 8.333333333333334)",20.0,8.333333333333334
